edit_history_tweet_ids,id,text,label
['1576056784103821312'],1576056784103821312,pprt imagino mais ela votando na tebet do q Lula e BOLSY https://t.co/3jm4Dm2BSw,0
['1576056778541785088'],1576056778541785088,"@LSerbake Kkkkkkkkk... Povo burro, acha q ela vai falar q vai votar no lula? Claro que vai votar no lula, vcs fazem pressão em cima das funcionárias e quer o q?Ela sabe q no governo lula, as domésticas quase entraram em extinção. Lembro bem,pq começaram a ter empregos melhores em fábricas",-1
['1576056777358995456'],1576056777358995456,"Meu voto no primeiro turno é da @SofiaManzanoPCB , segundo turno se houver é Lula óbvio. o Bolsonaro representa o oposto daquilo que eu acredito e sigo, e nada vai mudar a minha opinião.",1
['1576056775148990464'],1576056775148990464,"@Sandrod26313638 @LulaOficial @Jeronimoba13 @ottoalencar @costa_rui @ricardostuckert Esse eh melhor chefe lula racista
https://t.co/HEMzA71tXE https://t.co/b4uOtEy0TW",-1
['1576056773605486592'],1576056773605486592,@mathtoscano @taoquei1 KKKKKKKKKKKKKKKK sim ele é candidato é no último momento vai pedir voto pro lula o Ser Idefinido....Agora pedir voto é apequenar amigo dia 02 volte aqui as 22H aí saberemos a realidade,0
['1576056772468801537'],1576056772468801537,"@gustavocanalhao Caue moura, pedófilo, apoiador do Lula..",-1
['1576056765405622273'],1576056765405622273,"Nem lula nem Bolsonaro ,meu voto vai pra ele https://t.co/RiwVRp0OhY",0
['1576056765182922752'],1576056765182922752,"@elloane_zara @IMedicis @BettyFaria Até lá o Lula já estará em estado terminal com cirrose e a Janja já o terá abandonado. 
Após a reeleição de Bolsonaro será eleito o governador de sp, Tarcísio de Freitas, para a presidência da República 
Acabou pra vcs",-1
['1576056762788352005'],1576056762788352005,quero o lula liberando verba pras ufs já em janeiro a que receber mais dinheiro eu tô indo,1
['1576056761932713984'],1576056761932713984,"Acho que Lula vai surpreender com uma quantidade bizarra de voto em silêncio

Vai HUMILHAR o capetão. Papo do cara virar pária",1
['1576056756249456640'],1576056756249456640,"@iseestrelaa Entendo vc gostar do Ciro, mas no momento a ida dele.para o segundo turno não é uma possibilidade. Será que entre Lula e Bolsonaro vc não vê a diferença? Ainda dá tempo de refletir",0
['1576056754722377728'],1576056754722377728,"Este é o Padre que o Lula e sua corja de vagabundos tentam cancelar. Ladrões, canalhas. https://t.co/3IaESnkXId",-1
['1576056754135191552'],1576056754135191552,@rosana Lula q n tem como se defender pq não existe essa possibilidade mas pra vcs q querem a mamata ignorar isso é fácil,-1
['1576056750892933120'],1576056750892933120,@Ro_almeida24 @vitorsergio @matheus_karil So que o Ciro é a mistura de Lula e Bolsonaro e desde 2014 que ele deixou de ser opção de voto pra mim.,0
['1576056750481907904'],1576056750481907904,"@LulaOficial Vai ser no 1o turno!!!!

https://t.co/mPgP9jy0f9",1
['1576056744991543296'],1576056744991543296,"quero q lula e bolsonaro se foda, o bglh é boca de 0nine na presidência",0
['1576056741971755009'],1576056741971755009,"Padre Kelmon olhou fundo nos olhos do Lula e viu trevas, ódio e escuridão.

Coitado do Brasil se esta criatura trevosa voltar ao poder.",0
['1576056740596289536'],1576056740596289536,"👏🏻
Não é pelo Lula. Não é pelo PT.
É pela vida de todos nós. https://t.co/MEVmCeuTeh",1
['1576056738305871872'],1576056738305871872,É Lula lá né #LGBTsVotam13 https://t.co/9pfSeBvBJr,0
['1576056737123119105'],1576056737123119105,"@Velberan É o reflexo do fracasso educacional no Brasil.

Infelizmente, a gente vai ter que votar pra tirar um PUTO como esse bolsonaro no primeiro turno.

Claro.. Com altas chances do novo ""governo lula"" dar MUITO ERRADO por vários fatores.. Mas bolsonaro n da mais n.. sinceramente...",-1
['1576056729766625280'],1576056729766625280,@ThiagoResiste @LulaOficial ESTOU COM LULA,1
['1576056728700919809'],1576056728700919809,Simplesmente Lula no 1º turno 😍 https://t.co/EZhkNXBBnx,1
['1576056728197615617'],1576056728197615617,@SF_Moro Lula não foi absolvido...,0
['1576056722653073408'],1576056722653073408,"@FlavioBolsonaro Alô PTralhas

Reforcem o estoque de RIVOTRIL para + 4 ANOS.

KEEP KALM nós aguentamos a ESQUERDA SOCIALISTA durante 24 anos, Fernando Henrique, Lula, Dilma e Temer. https://t.co/LP7My9nzW6",-1
['1576056721448976384'],1576056721448976384,lula presidente e mês abençoado pra nois 🙌🏻🫶🏼,1
['1576056713072910336'],1576056713072910336,"Meu pai achou que fosse meme eu votar no lula, coitado kakakaak o desgosto dele",0
['1576056707079290880'],1576056707079290880,@1Zolin @kmilaamerico @OliveiraSildoca @LulaOficial H1n1 não tinha vacina . Lula não comprou . Quantas crianças morreram na aquela época.,-1
['1576056701748289536'],1576056701748289536,"Papai Lula tem que ganhar, meu espírito de fofoqueira clama pra saber o que tem atrás dos sigilos de 100 anos",1
['1576056700343267328'],1576056700343267328,luís inácio lula da silva marruá https://t.co/Z3JtpVjvBb,0
['1576056694173335553'],1576056694173335553,"Na reta final, Lula arrasta multidão em Fortaleza e pede Elmano para governador https://t.co/C1YJWjVrvt",0
['1576056692948627456'],1576056692948627456,"@Estadao @EstadaoPolitica e daí? O Lula também mentiu dizendo que é religioso e religioso ele nunca foi, rs.",-1
['1576056692864733184'],1576056692864733184,Eu sou 100% contra o PT e o Lula! Bjs,0
['1576056690952531968'],1576056690952531968,@BlogdoNoblat A Simone Tebet de Papinho o tempo todo com o Lula TB se configura dobradinha ou é só do lado do Bolsonaro mesmo?,r
['1576056688393625602'],1576056688393625602,"@Roodrygoo1993 @vividias_ Mas estao é as pesquisas apontam lula em primeiro e bolsonaro em segundo...
 O que fazer?",0
['1576056682810990592'],1576056682810990592,"¡Luiz Inácio Lula da Silva, será elegido Presidente de la República Federativa de Brasil, este domingo 2 de Octubre!
@LulaOficial @petrogustavo",1
['1576056673298284545'],1576056673298284545,"@detremura A minha cidade é ligada ao Agro e outro dia sai com um botom de Lula e um sujeito tirou uma foto minha para me expor, que exigi que apagasse. E a maioria da população tem média salarial baixa e acha que é elite. Impressionante a Matrix que vivem. Vou com a camiseta abaixo: https://t.co/edvyMa4rlh",0
['1576056647319179264'],1576056647319179264,"@batistajaque_ O voto racional é Sofia 21
O voto pra tirar logo o Satanás é Lula 13",1
['1576056646614233088'],1576056646614233088,@Miltonneves Domingo é dia 2 do mês 10 é igual a 2+10+eu=a 13 de LULA,0
['1576056644793905152'],1576056644793905152,@brunalouiseef eu na vida quando posto algo de lula e quero saber quem fez o favor de deixar de me seguir kkkkk,0
['1576056643585855489'],1576056643585855489,@fabiofaria Assim que Lula for eleito presidente Ciro Nogueira e Fábio Faria vão entrar em uma espécie de quarentena e passando essa etapa vão vir igual a cachorrinhos  atrás de Lula pedindo cargos no governo porque vcs são parasitas! https://t.co/tra1SaTF3Q,-1
['1576056640628875264'],1576056640628875264,"@gamermaxgyn @ComandanteMb Que povo, se a maioria do povo democraticamente votar no Lula? https://t.co/68suMFkt4g",0
['1576056636732383233'],1576056636732383233,Acho q o tiro desse padre saiu pela culatra hein kkkkkkkk vai eleger Lula no 1 turno,0
['1576056635369234432'],1576056635369234432,"@andalemanyto Depois que tudo que passou, golpe em Dilma, cárcere do Lula... a mentira golpista dos nazi-fascistas vai ser derrotada pelo povo. O Brasil está sendo saqueado desde o golpe em Dilma... espero que Cristina na Argentina não seja vítima também de um golpe futuro",-1
['1576056634719158273'],1576056634719158273,"@AndradeRNegro2 Bolsonaro genocida 
Fora bolsonaro 🐽 
Fogo nos racistas 
Volta Lula 
Volta Lula Volta Lula Volta Lula 
Fora bolsonaro 🐽",-1
['1576056634715303940'],1576056634715303940,Eu só peço uma coisa… que EXU nos dê lula no primeiro turno. LAROYE 🔥,1
['1576056632894980096'],1576056632894980096,@Reuters Lula is corrupt,-1
['1576056622228832256'],1576056622228832256,"@kamillaalbino @neymarjr O certo é o Neymar ir pedir para o Gilmar perdoar a dívida dele, se perdoou 18 milhões do Lula, perdoa a dívida de qualquer um, , para tirar o povo do SPC é Gilmar Mendes e não Ciro",-1
['1576056619452223489'],1576056619452223489,"@VEJA Foram pra cima do Lula, achando que ele iria arregar, deixar prá lá. NÃO! Lula fez o certo em reagir sem desrespeitar o FALSO PADRE. E assim como o Bonner, ninguém com bom senso estava mais aguentando ver aquela canalhice do KELMONARO!
ESTOU COM LULA!",1
['1576056617694478337'],1576056617694478337,"@MarceloAdnet Todos entendemos o teu desespero para falar uma idiotice delas. Sugiro assistir novamente, principalmente quando Lula diz que prefere deixar os puros candidatos falarem, depois de ser cozinhado pelo Bolsonaro.",-1
