edit_history_tweet_ids,id,text,label
['1576312420586250240'],1576312420586250240,"País vergonhoso esse nosso um cara desse ainda é candidato à presidência do nosso país irmão o cara ROUBOU milhões como eu votaria em um cara que ROUBOU e foi condenado, pelos seus crimes nossa bandeira jamais será VERMELHA 🇧🇷🇧🇷 #22",-1
['1576312414408040449'],1576312414408040449,@fsantacruz_rj @LulaOficial Você é candidato à que mesmo? Só para saber em quem não votar mesmo!,-1
['1576312414404218880'],1576312414404218880,"@cirogomes faltou levantar mais um dedinho da mão direita, parabéns por assumir seu candidato",r
['1576312412399366145'],1576312412399366145,@preciouskkura aqui teve a briga dos ferreira fomes e ai tem o ciro apoiando o ex prefeito de fortaleza e cid e ivo apoiando o candidato do pt. no meio disso tem o do bolsonaro. todos tão com mais ou menos 30% kkkk vc acha que a sua prefeita ganha?,0
['1576312411615006720'],1576312411615006720,"@brulumelo @DanAdjuto Fala, Bruno! Tudo bem? Deixa eu me apresentar. Sou Abidan Henrique, candidato à Dep Estadual em SP. Minhas principais pautas são pela educação de qualidade e oportunidade para juventude. Vem conhecer minhas propostas 👊🏾✊🏾https://t.co/hpkL8onhTS. Qualquer dúvida, me chama!",0
['1576312406581866496'],1576312406581866496,Minha mãe falou q n vai votar no Frecho (n sei qm é mas é candidato pra alguma coisa no RJ) pq ele apoia os homossexuais 🤡,0
['1576312397673168897'],1576312397673168897,"@juliamaisa__ @nunesthamii Eu não iria votar no Bolsonaro, mais minha ficha caiu e descidi votar nele. Já o outro candidato quer transformar nossa amada Nação em uma nova Argentina a Longo prazo. Têm vídeos dele falando do plano.",-1
['1576312393394970625'],1576312393394970625,"Candidato ao governo do RS e membro da CPI da Covid, Heinze tem olho atingido por fio durante campanha https://t.co/trDkKcfZ9q",0
['1576312380845305857'],1576312380845305857,"@itimaliadeux Querido, na sua idade kkkk vc é o candidato a suggar hahahahah",0
['1576312379427926017'],1576312379427926017,@Elypaula78 @pjcria Não tem só lula de candidato sua burr*(((***  o problema é apoiar bozo não necessariamente ser PT  vac**,-1
['1576312377636622336'],1576312377636622336,"@delucca @augustodeAB Lauro Jardim [
@laurojardim
]: Ex-candidato da ultradireita na Itália doa R$ 267 mil para candidato esquerdista a deputado federal https://t.co/OEGhUPxE1q",0
['1576312365905084417'],1576312365905084417,"Como a gente tem candidato bom pra federal esse ano no RJ. Tá pra meter um sloganzinho ""PSOL, um partido necessário"" sim. Mó respiro.",4
['1576312364852338689'],1576312364852338689,"Povo brasileiro, favor aproveitar a derrota do time do Felipe Melo hoje e derrotar logo o candidato deste ex-jogador em atividade amanhã. Grato.",0
['1576312363158237185'],1576312363158237185,"candidato, e com sua ótima equipe 🧍‍♂️🧍‍♂️🧍‍♂️🇧🇷continuará a trazer o Brasil 🇧🇷🇧🇷para um grande progresso📈✨.
👉👉BOLSONARO 22. 2️⃣2️⃣🇧🇷🇧🇷🇧🇷
Brasil acima de tudo🇧🇷🔝, DEUS🎅🏻👼🔝 acima de todos🙇‍♀️🙇‍♂️!!!",1
['1576312360272551936'],1576312360272551936,"Meu candidato 🪖👨🏻‍🦳🇧🇷 está suportando um ataque maciço 💣💥 da mídia🤳📺😈, mídia esta que perdeu bilhões💸📉 em propaganda. Mas ele🪖👨🏻‍🦳🇧🇷, com sua equipe🧍‍♂️🧍‍♂️🧍‍♂️🇧🇷, está trabalhando e colocando o Brasil🇧🇷 em destaque🔝🏆 no mundo 🌎.
Acreditem: Bolsonaro🪖👨🏻‍🦳🇧🇷 é o melhor🥇",1
['1576312351627755520'],1576312351627755520,"com todo revanchismo e com poder para roubar 🦹🏻‍♂️💰🦑e destruir 💥💣⚰️nosso próspero país🇧🇷✨. 
Meu candidato 🪖👨🏻‍🦳🇧🇷é conservador🙏🏻, preocupado com a família👨‍👩‍👧‍👦, segue o Evangelho⛪🙏🏻 e não tem imposto nada🙅‍♂️🙅‍♂️, e entrega o país com crescimento🇧🇷📈, queda do desemprego📉 e inflação",1
['1576312342660648960'],1576312342660648960,"@Saraiva61287361 @rsallesmma Conheça quem combateu Ricardo Salles!
Ajude-nos a divulgar está pessoa ímpar chamada  Alexandre Saraiva candidato a DEPUTADO FEDERAL.
Venha se unir a pessoas que pensam como você!
Visite o perfil do Antigo chefe da Superintendência do Amazonas 
@DelegadoSaraiva https://t.co/MpjSNtDx5u",0
['1576312334708256768'],1576312334708256768,Véspera de eleição a galera da minha rua já tá brigando por candidato enquanto eu tô simplesmente impressionado com o shape que o pai meteu nos últimos meses,0
['1576312331327266816'],1576312331327266816,"@choquei Show dessa menina é  ótimo.
Candidato dela tbm.",0
