edit_history_tweet_ids,id,text,label
['1576050330114363392'],1576050330114363392,@joicehasselmann Bolsonaro NÃO quer aproveitadores como você.,-1
['1576050330110160901'],1576050330110160901,o bolsonaro é um anjo enviado de deus para nos mostrar o paraíso dos céus @PeKelmon #mito #brasil #LulaLivre  #FIFA  #LOUDWIN #VoteConsciente,1
['1576050318852640769'],1576050318852640769,"@AndradeRNegro2 @Loucosdovalle Bolsonaro é contra o aborto e defende a vida desde a sua concepção, o povo de bem também

O Brasil agradece

Obrigada Presidente Bolsonaro

Bolsonaro 22",1
['1576050318596399104'],1576050318596399104,@Victorrmsk É a milésima vez que ele fala ao vivo que não vota no Bolsonaro,0
['1576050309822287873'],1576050309822287873,"@OGloboPolitica Bolsonaro é tão fake, q até o laranja q ele leva para ajudá-lo no debate é fake.",-1
['1576050304222535680'],1576050304222535680,"@FabioSlenio @CaduR13 @umaimpardeazul Em pais você estava na pandemia? Não viu o Bolsonaro rir do povo com covid? Pessoas morreram por irresponsabilidade dele, ficaram sem oxigênio, artistas tiveram que enviar aviões cheios de oxigênio, porque o Bolsonaro tava andando de jet-ski não fez o mínimo do trabalho dele.",-1
['1576050301756354560'],1576050301756354560,Hoje as pesquisas começaram a aproximar Bolsonaro de Lula Milagrosamente! Modal/Futura Lula 40 x 37% Bolso - Paraná Lula 43 X 37 Bolso - Ipec RS Lula 41 x 40 Bolso.... amanhã da empate técnico e no dia Bolso 10 pontos na frente! kaukuakuakuaukuka,0
['1576050292163981312'],1576050292163981312,"@LucianoHuck Eu acredito em pesquisa Luciano, o instituto Veritas acabou de soltar que o Bolsonaro tem 43.2% e o Lula 42.1%.
Agora minha dúvida é você acreditar em pesquisa quando o Bolsonaro está na frente.",0
['1576050292000378881'],1576050292000378881,@hyunjinmeudono Tudo culpa do Bolsonaro AMG,-1
['1576050291484807170'],1576050291484807170,"@Miltonneves Babacas como você, Milton Neves, e  todos os demais bolsonaristas,  detestam o padre Júlio Lancelotti.  Mas amam esse tal de padre Kelvin, ou Kelson, ou sei lá o quê! Isso mostra o tipo de cristianismo que vocês praticam! Vocês não seguem a Cristo,  seguem a Bolsonaro! https://t.co/RJQY1JNpBh",-1
['1576050287688687618'],1576050287688687618,"O candidato à Presidência da República Ciro Gomes (PDT) voltou a criticar a polarização entre Jair Bolsonaro (PL) e Luiz Inácio Lula da Silva (PT) após o debate na TV Globo, realizado na noite de ontem, 29.

https://t.co/OF4ZuMwaWm",0
['1576050279652687872'],1576050279652687872,"Sobre Debate dos Candidatos/Presidência do Brasil, na @tvglobo,em 30SET22,eu confirmei o quanto o Presidente Bolsonaro não se corrige.Como é grosseiro, mal educado,desrespeitoso.Q falta de Diplomacia, Respeito,e Requinte.Nunca será líder @TheNewsYork @GloboNews @washingtonpost🇧🇷 https://t.co/mupuVDv9Np",-1
['1576050276489797632'],1576050276489797632,@neymarjr Votar no Bolsonaro não é opinião. 😶,0
['1576050275005001730'],1576050275005001730,"Mais um traidor que surgiu graças ao Bolsonaro! Pode enfiar a viola no saco, que já deu pra vc é  seu irmão. https://t.co/zwtg5ISqsA",-1
['1576050274103615488'],1576050274103615488,@AugustoNPistola Cadeia para bolsonaro.,-1
['1576050271884410880'],1576050271884410880,"Tenho um pensamento que na solidão da urna, na hora H, na hora da escolha real e irreversível, o cidadão eleitor verá o Bolsonaro como  o candidato que deve ser eliminado  por questão de saúde pública! E aí, a consciência do dever será decisiva!",0
['1576050266486763520'],1576050266486763520,@senadorhumberto @LulaOficial @danilocabralpe @teresaleitao_ NUM DIANTA HUMBERTO !!  NUN VAI DAR  NÃO 👇 O POVO QUER O BOLSONARO 🇧🇷👇 https://t.co/6xEhCm229t,1
['1576050259377106944'],1576050259377106944,"@thigagliasso Eu torço p Bolsonaro em 1 lugar. Em 2 lugar torço o Ciro. Pra ele tirar votos do PT kkkkk Ciro é popular no Ceará e , de certa forma, p quem se acha de esquerda, é uma alternativa.",1
['1576050256130686976'],1576050256130686976,"@juliette Eu sou mulher e voto Bolsonaro! Dia 2 é 22  e no 1º turno. 🇧🇷

#BrasilVota22 https://t.co/3uIFJ3WXnD",1
['1576050251202711552'],1576050251202711552,@Jouberth19 Eu voto no Bolsonaro,1
['1576050243518406657'],1576050243518406657,Donald Trump Jr . É Bolsonaro !!! 💛💚💛💚💛💚💛💚💛💚💛💚 https://t.co/oNLQELGrQT,1
['1576050242272706560'],1576050242272706560,Aguardem. Bolsonaro vai assistir a copa do mundo e sumir do mapa pra não ser preso. https://t.co/5UxO6ukilC,-1
['1576050239387369474'],1576050239387369474,"@jairbolsonaro Obrigada, presidente Bolsonaro , por sua luta diaria por nos, brasileiros, que respeitamos sua coragem em nos defender dos criminosos que ameacam e matam nossos irmaos patriotas",1
['1576050237424435200'],1576050237424435200,"Fizeram de tudo para para baixar a nossa estima, começando pelo consórcio de jornalismo e passando pelo STF.
O governo Bolsonaro, com tudo contra, nos entregou um país melhor.
Mas nada é mais animador que a cara de derrota do Ladrão. https://t.co/cNDHXYY1DD",1
['1576050236308525056'],1576050236308525056,"Lula deve manter tom duro contra Bolsonaro e quer mutirão em igrejas

Ajuda aí, nos segue!

#jesus #cristaos #cristao #igreja #deuseamor

https://t.co/VS4bzufOLq",0
['1576050226968039424'],1576050226968039424,@aminkhader Depois apontam Bolsonaro como Homofóbico. Eles são tão alienados que fazem oque se dizem ser contra.,-1
['1576050226531815424'],1576050226531815424,"Engraçado. Não vi ninguém pedindo a cabeça da Luísa Sonza quando ela foi acusada de racismo. Parece até que para a esquerda, é melhor ser racista que botar em Bolsonaro https://t.co/Xdyt39OGts",-1
['1576050222152617984'],1576050222152617984,@RicaPerrone @Cara_atapa O padre vem para alavancar Bolsonaro. Roberto Jefferson deu um xeque mate na esquerda e no Xandão . Mas eu sigo em minhas escolhas a favor do país . Porem agradeço imensamente ao padre e ao Bob por esta jogada de mestre contra o sistema podre .,0
['1576050215429484544'],1576050215429484544,"@MayanaBarros2 @nando_reis Só não cancelar só respeitar a opinião dele, ou o Bolsonaro entrou tanto  na sua mente que faz com que faça cancelamento a todos que se opõe a ele?",0
['1576050210421166080'],1576050210421166080,@Omardeideais Com eleições limpa Bolsonaro 70%,0
['1576050208131395584'],1576050208131395584,"Bolsonaro perde as eleições, Neymar fica puto, joga a copa na força do ódio, Brasil ganha, nois fica feliz.",1
['1576050204146421760'],1576050204146421760,"@Matheusfj100 amigo acabei de entrar na modal mais futura e quem esta na frente `e bolsonaro, nessa sua esta o lula",0
['1576050203043729409'],1576050203043729409,"Dia 2 está chegando
Votem com consciência!!!
Uma pessoa minimamente inteligente não irá votar no Bolsonaro
Não quero ver nego nessa altura do campeonato fazendo burrice",0
['1576050203043381248'],1576050203043381248,"Só foi o Neymar declarar apoio publicamente ao Bolsonaro que centenas de jogadores e artistas começaram a apoiar também.

Ou seja, são frouxos demais.",-1
['1576050202888138754'],1576050202888138754,@TarcisioMuniz6 Bolsonaro patrocinou a pizza 🥰,1
['1576050197595291648'],1576050197595291648,"@alexandre Aqui nos comentários, Bolsonaro já está eleito.",1
['1576050196097945601'],1576050196097945601,não tenho palavras p descrever a vergonha q eu sinto de ver pobre apoiando o bolsonaro,-1
['1576050194390847489'],1576050194390847489,"@Wanderley Vai explicar isso pro @opilhado @CarlaCecato_FC @carlacecatoofic porq eles não aceita críticas ao lixo do bolsonaro, a mesma disse q vai embora do país caso lula ganhe, e vai ganhar, espero q vá mesmo, não vai fazer falta alguma, @RicaPerrone chupa essa manga seus FDO.",-1
['1576050192197259264'],1576050192197259264,@UOL Até a  extrema direita Italiana não quer Bolsonaro 🤣🤣,-1
['1576050185733607426'],1576050185733607426,"que lula e bolsonaro oq, o ngc é guedes para presidente",0
['1576050180490940418'],1576050180490940418,FELIPE MELO E BOLSONARO O BRASIL E BOLSONARO.  #BolsonaroNoPrimeiroTurno #BolsonaroNoPrimeiroTurno 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷 https://t.co/KoC5RZ17NE,1
['1576050179316203520'],1576050179316203520,"￣￣￣￣￣￣￣￣￣|
                FÃ DE
        BRITNEY SPEARS
            NÃO VOTA 
                  EM
           BOLSONARO
         
|＿＿＿＿＿＿＿＿＿＿＿| 
               \ (•◡•) / 
                 \       / 
                    ---
                    |  |",0
['1576050167010033664'],1576050167010033664,@tuitakaik O nordeste e assim Bolsonaro não se cria,0
