edit_history_tweet_ids,id,text,label
['1576042578704683008'],1576042578704683008,"@BettyFaria Ciro é do Foro de São Paulo, segundo José Dirceu.
É Jair ou já era 2️⃣2️⃣ 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",r
['1576042561730289665'],1576042561730289665,@AlinedeArajoMa1 Vota no Ciro e muda a vida do país pra melhor!,1
['1576042554357080064'],1576042554357080064,@deluca_joao @ManuelaDavila Eu vou de Ciro 12,1
['1576042549063479296'],1576042549063479296,"PESQUISA BRASMARKET 30/09

Jair Bolsonaro : 45,4%  
Luiz Inácio Lula da Silva : 30,9%  
Ciro Gomes : 6,2%  
Simone Tebet : 5,2%  
Soraya Thronicke: 0,8%  
Felipe D'Ávila: 0,3% 
Padre Kelmon: 0,3% 
Demais candidatos:1%  
Branco/Nulo: 2,6% 
Não sabe: 8,3%

#BolsonaroNoPrimeiroTurno",0
['1576042540880433152'],1576042540880433152,"@Bic2601 @CaiafaAgatha Como ele mesmo disse, nos primeiros 6 meses ninguém quase vai contra e é ai que começa a mudar as coisas.

Eu vou de Ciro 12, pois é o que julgo ser a melhor opção e me recuso a votar em quem não acredito.
Essa de votar em um pra tirar outro só afunda mais o país.",1
['1576042528520167424'],1576042528520167424,"na minha cabeça o wjsn nas eleições seria assim:
exy, eunseo e seola - lula
bona, dayoung, yeoreum e yeonjung - ciro
dawon e soobin  - simone
luda - soraya",r
['1576042520596733952'],1576042520596733952,"@UOL CIRO GOMES  SABIA DO PADRE DE FESTA JUNINA , SO QUE NAO FALOU ,FICOU CALADO PORQUE CIRO E  OUTRO FEKE CABO ELEITORAL DE BOLSONARO",r
['1576042515027087360'],1576042515027087360,Ciro neles @cirogomes,1
['1576042513588453376'],1576042513588453376,@GuilhermePenta @PauloVieiraReal Ficou com raiva pq Ciro ficou gagá muito jovem,-1
['1576042484378980354'],1576042484378980354,"O perfil de quem deixa de votar faz com que Lula perca proporcionalmente muito mais votos, isto deixa a chance de não ter segundo turno nula. 0,0%.
Todo analista politico sabe disto, mas não fala.
Domingo Vote Certo, Vote Ciro 12.
#VoteCertoVoteCiro https://t.co/4VzSVxOv7m",1
['1576042481690775552'],1576042481690775552,"@souza_iuly @RamaoPalacio Não entendi o que vc quis dizer na 1a parte e sobre Ciro, pq vc acha que se trata de ego? Ser eleito tem um peso de conquista pessoal, mas desde quando propor o que ele propõe é egoico? Acho que vc não o acompanha, leu o livro ou o plano de governo. Ele não fez nada sozinho...",-1
['1576042468419985408'],1576042468419985408,"nessa versão eu concordei com o ciro, vou votar com ódio msm kkkkkkkkk https://t.co/OrcpCoeCKv",1
['1576042461008637953'],1576042461008637953,"@faelleaf @akdsr12 N haverá vitória no 1T, Lula n conseguiu isso qnd tinha a popularidade no auge, imagine agora ele e JB sendo os candidatos + rejeitados. Então votar no Ciro ou outro qlq ajuda a tirar JB. N quero anular meu voto, quero exercer minha liberdade de votar em q eu quiser. Fica na paz.",1
['1576042460962500608'],1576042460962500608,@swheadcanons se bem q eu acho q o cassian é ciro gomes mas enfimkk,r
['1576042457589874688'],1576042457589874688,"@Rodrigodigao131 @Simoniibr Inclusive, o Ciro esteve aqui para votar no segundo turno, mas virou meme. Só pra finalizar.",-1
['1576042441182150657'],1576042441182150657,"@senadorhumberto Kkkk , a surpresa será grande né @ciro_nogueira 🤭🇧🇷",0
['1576042436711026689'],1576042436711026689,"Momentos antes da disgraça acontecer
O Ciro: https://t.co/4eY0qt3UCK",-1
['1576042435574403073'],1576042435574403073,"A grande maioria das pessoas que votam no Lula e Bolsonaro tem algo em comum, todos votariam no Ciro caso não existisse essa polarização. Minha família está assim dividida mais o consenso é um só Ciro Gomes. Vou tentar até o fim unir minha família e levar #CiroNoSegundoTurno",1
['1576042423414706180'],1576042423414706180,"@livialvesssss Se for contra os juros exorbitantes praticados pelos bancos, aí que o bixo pega, só Ciro bate de frente",1
['1576042408340770816'],1576042408340770816,"@jhjacinto_ @DaniloGentili A carreira política do Ciro morreu ontem com as atitudes dele.
Trabalhou o debate inteiro em prol do miliciano.",-1
['1576042408328187904'],1576042408328187904,@batistajaque_ Ciro 12 é o mais preparado. https://t.co/NW6ZljV9cQ,1
['1576042397653299201'],1576042397653299201,"@katrisq @Romynho74 @wandergale @futtmais Ciro não está focado em 2022 e sim em 2026.
Ele sabe que o Bolsonaro leva essa.
Por isso está desvinculando a sua imagem de LulaDrão e dando porrada no pinguço. Assim ele vai tentar conquistar os eleitores anti-lula com pautas NACIONALISTAS.",1
['1576042373095649280'],1576042373095649280,"@rochaghellen Relaxa hellen, muitas pessoas estão nessa situação. Mas pesquise, ainda há tempo. Veja o wikipedia com o histórico do Ciro. https://t.co/7SNblrjVqc

Tem muita coisa que pode te surpreender, qualquer dúvida só perguntar.",0
['1576042352258748416'],1576042352258748416,"@cirogomes Ele fala tanto que o Lula se auto-elogia pelos anos como presidente, mas Ciro faz o mesmo em relação ao seu governo no Ceará! Hipocrisia!",-1
['1576042347854454784'],1576042347854454784,@jnascim @LulaOficial Detalhe: os irmãos de Ciro não participaram da agenda dele (a primeira e única no CE),0
['1576042346042777601'],1576042346042777601,"as eleições de definem em bolsonaro e lula de macetando,padre de festa junina e o Ciro de enfeite",0
['1576042336202551296'],1576042336202551296,@batistajaque_ Ciro é uma ótima opção pra quem quer tirar o bolso do 2º turno,1
['1576042293659697152'],1576042293659697152,"CIRO GOMES é o político família, nome limpo e patriota como o eleitor bolsonarista acredita que Bolsonaro é
CIRO GOMES tem os projetos, e é de esquerda da maneira que os lulopets esperam de lul@",1
['1576042283493122048'],1576042283493122048,Se o povo se unir Ciro ou Simone ganha essa eleição e só povo tirar o foco de 22 ou 13 que tudo flui,0
['1576042269542842368'],1576042269542842368,Me sentindo cada vez mais o Ciro,1
['1576042264430018561'],1576042264430018561,"@DorgivalFirmin3 @FabioPorchat @LulaOficial Ciro não tira o Bolsonaro, esse é o argumento pra convencer ...",0
['1576042256246505472'],1576042256246505472,"@zanittei Lula:48%
Bolsonaro:38%
Ciro:8%
Tebet:6%",0
['1576042253281525760'],1576042253281525760,Eu poderia ter ido pro ciro e minha vida estaria normal agr,0
['1576042252052242432'],1576042252052242432,@batistajaque_ Ciro Gomes é uma boa escolha,1
['1576042250500734977'],1576042250500734977,"bagi vc me perdoe mas eu acho q a carina votaria muito no ciro com a desculpa de ""ai mas o pt"" https://t.co/qhOA4Ia6Ny",0
['1576042243126763520'],1576042243126763520,tadinho do ciro kkkkk,-1
['1576042241939734528'],1576042241939734528,"@batistajaque_ Vamos de Ciro, único candidato com projeto de país, ficha limpa e com vasta experiência em administração pública.",1
['1576042228673224706'],1576042228673224706,@TEREZINHANOGU16 Estamos juntos.  Ciro Gomes vai ao segundo turno.,1
['1576042224525058048'],1576042224525058048,@batistajaque_ Ciro. Sem dúvidas,1
['1576042221844910080'],1576042221844910080,@rochaghellen Pra não errar de jeito nenhum é Ciro!! https://t.co/4gZtzR4mzB,1
['1576042199661555713'],1576042199661555713,"@Miltonneves Rapaz eu vou é no Ciro Gomes. Maluco inteligente, ficha limpa, não tem rabo preso com ninguém e tem um projeto bem elaborado de país. Vou de 12 com força!",1
['1576042181378584576'],1576042181378584576,"@batistajaque_ @joaogerardobr Vamos de Ciro irmã.
3 aposentadorias que tinha direito e abriu mão. Nunca usou cartão corporativo. Ficha limpa. Único com projetos pro Brasil.
Ciro 12",1
['1576042179063009281'],1576042179063009281,"@batistajaque_ É a Turma que engaja e quando recebem a notificação eles correm para ajudar na decisão dos indecisos... eu era um que não sabia em quem votar até que me apresentaram o projeto do Ciro. 😅

Dia 2 eu votarei 12 com esperança e espero que você consiga se decidir até lá. 🥰 https://t.co/BB7a1TKxwF",1
['1576042162055434242'],1576042162055434242,@gabxromao Se apoia o Ciro dá uma bicuda em você,r
['1576042149652860928'],1576042149652860928,"@andalb_ Ciro Gomes é muito inteligente

Besteira tentar negar o óbvio",1
['1576042145583988741'],1576042145583988741,"@larisssafranca Ciro 12 é o melhor. 
Lule fez de tudo para acabar com os demais candidatos só para aumentar o ódio e a polarização. https://t.co/0njTuU8Kox",0
['1576042128081551360'],1576042128081551360,"mulher supera, tá pior q o ciro gomes https://t.co/D9zPZFZtKo",-1
['1576042102412046336'],1576042102412046336,ciro eu tô achando você nervoso,-1
['1576042095852552193'],1576042095852552193,@ciro_nogueira Que bem? O bem que o povo roi osso? O bem que o povo não teria vacina se não fosse o Dória?,r
