edit_history_tweet_ids,id,text,label
['1597590527805108226'],1597590527805108226,"@MBLivre @DaniloGentili Ué... o kim kataguiri processou quem xingou ele de nazista... 

enfim a hipocrisia...",0
['1597589641099898881'],1597589641099898881,"@mateus_leaal @KimKataguiri Vc nao entende nada de liberdade, pq vc nunca leu nada sobre liberdade...Nao é a toa que defende KIM KATAGUIRI",-1
['1597585036035096578'],1597585036035096578,"@darc_drc @mb_vinicios1 @diegoviniciux @FolhaPainel o método de colocar celular e fazer o questionamento com cortes, realmente acho meio apelativo, tem muita coisa que o MBL precisa amadurecer para atingir grande massas e furar a bolha. Porém não podemos questionar o mandato que o Kim Kataguiri fez.",0
['1597584418956546049'],1597584418956546049,Se o kim kataguiri for a presidência eu voto nele daqui 4 anos mlk tem voz e atitude,1
['1597574860213190658'],1597574860213190658,"@connieusabr @TokudaPaulino O PROBLEMA Ñ É O GENTILLI E SIM QUEM PROMOVEU A ENQUETE! O MBL GOSTA DE CRITICAR E XINGAR POLITICOS, MAS SE CRITICAR UM MEMBRO DA BASE DO MBL AÍ QUEREM ESFOLAR A PESSOA! A 2 DIAS FUI AMEÇADO C/ PROCESSO PQ CRITIQUEI KIM KATAGUIRI! NO MBL PAU Q/BATE EM CHICO Ñ BATE EM FRANCISCO.",-1
['1597573423512821760'],1597573423512821760,"@marciatiburi Legal... Agora pague a indenização!
https://t.co/8v62hK7XAH",0
['1597572675358306306'],1597572675358306306,"Se não cancelar outra reunião, o Conselho de Ética da Câmara se reúne hoje às 14h para discutir onze representações contra oito deputados diferentes, incluindo André Janones, Bia Kicis, Carla Zambelli e Kim Kataguiri.",0
['1597572170112466950'],1597572170112466950,"ORA ORA ORA... A 2 DIAS APOIADORES DO MBL ESTAVAM INCENTIVANDO KIM KATAGUIRI A ME PROCESSAR POR MEU COMENTARIO! AGORA, QUAL É O POSICIONAMENTO DELES NESTE CASO?
https://t.co/WKU7Z3AXrB",0
['1597571390714318849'],1597571390714318849,"@KimKataguiri Você gosta de vermelho... gosta muito de vermelho,e tanto que defendeu o que fez jorrar bastante sangue na história, inclusive:
https://t.co/tgfmLJuQzC",0
['1597569341679362048'],1597569341679362048,@MBLivre @DaniloGentili Deixem de hipocrisia. Quem começou essa palhaçada foi lá com a Lei Kim Kataguiri. 🤡,-1
['1597568552818868224'],1597568552818868224,"@TokudaPaulino 🤔humm... estranho esse posicionamento do MBL! Só se ñ for um político criado na base do movimento, né? Pq a 2 dias atrás eu estava sendo ameaçado de processo por apoiadores do MBL e até estavam dando RT no Kim Kataguiri incentivando-o a me processar pq fiz um comentário.",-1
['1597565727388897280'],1597565727388897280,"@MarioCesarDF @_marimother @felipeneto Ai pessoas de direita vão ter voz nas universidades, não vão poder ser expulsas, agredidas como fizeram a poucos dias com o kim kataguiri",0
['1597552824275329024'],1597552824275329024,"@SegredosUnifesp e o Kim Kataguiri não tem nenhum PL tentando aplicar a intolerância dele à lei né? ah vai se foder porra, tá achando que a gente é idiota?",-1
['1597549473018023938'],1597549473018023938,"A estupidez bolsonarista contra Ciro Gomes e Gilberto Gil e a estupidez lulopetista contra Kim Kataguiri e Neymar Jr. são sintomas nefastos, nauseantes e perturbadores da selvageria tribal e niilista causada pelo duelo entre dois populistas patrimonialistas. #SanatorioGeral",-1
['1597547363392163842'],1597547363392163842,"1088. ""Simplesmente um absurdo isso que aconteceu no campus de Osasco com o Kim Kataguiri. Sou comunista de carteirinha e não concordo em nada com as ideias dele, nem por isso vou tentar silencia-lo como vocês fizeram. Todos tem o direito de falar. Hipócritas..",0
['1597531752926707713'],1597531752926707713,@moura357magnum @77_frota N pode tocar no Kim kataguiri dele kkkkkkk,0
['1597455587423399937'],1597455587423399937,O Kim Kataguiri chamou o Lula pro pau em Arapongas https://t.co/9zXOLuYYPd,0
['1597444697555087360'],1597444697555087360,"@rafacerqueiraf @memescomuna mano eu era fã do kim kataguiri

qualquer um pode ser radicalizado, basta começar a ler

eu virei comunista justamente pq estudei História da maneria certa",0
['1597437305597624322'],1597437305597624322,"Kim Kataguiri, o genérico de Jaspion é expluso na Universidade e quase apanha doas alunos ...
https://t.co/fctZV1dMRL",0
['1597430954137903106'],1597430954137903106,"Kim Kataguiri é agredido em universidade pelos ""justiceiros sociais"" https://t.co/1F8L8SsVht via @YouTube",0
['1597403533657055232'],1597403533657055232,"Comecei um mangá novo, e DO NADA o Kim Kataguiri. https://t.co/BLDCQnckcp",0
['1597401405740187649'],1597401405740187649,Pq a esquerda não está falando sobre a censura que fizeram com o Kim Kataguiri em universidade pública? Ou sobre o ódio que eles pegaram e afirmaram em discurso? Será q esse é o “do bem”? 🤔,-1
['1597398430170894336'],1597398430170894336,"@senadorhumberto Inclusive os que pregaram o ódio e atacaram o Kim Kataguiri e seus colegas na UNIFESP, ou não? Aquele é o ódio do bem? Sfd pra lá",0
['1597397788551442433'],1597397788551442433,"@MBLivre @DaniloGentili O projeto do Danilo vai dar o direito aos estudantes de esquerdas infernizarem a vida do Kim Kataguiri, como aconteceu essa semana. Eu optaria pelo projeto do Randolfe, o respeito acima de tudo.",0
