edit_history_tweet_ids,id,text,label
['1597657661612650496'],1597657661612650496,@MarceloBelinati A melhor foi a de 1970! O Prefeito não tinha nascido ainda!,-1
['1597657571355430913'],1597657571355430913,"@FernandoHoliday @AndreJanonesAdv @alexandre ""Srs. Vereadores e prefeito @ricardo_nunessp são 93 mil aposentados e 26 mil pensionistas prejudicados por este confisco. Todos são eleitores, lembrem-se disso!!
@ricardo_nunessp
@camarasaopaulo
@FernandoHoliday 
@edirsales
@elicorrea
@veramagalhaes
#RicardoNunesAcelera""
PDL92 já",0
['1597657242211270656'],1597657242211270656,O prefeito tomando gemada pra mais tarde a Márcia tratar da unha encravada dele kkkkkkk #ChocolateComPimenta,0
['1597657218005901312'],1597657218005901312,@blankahp4 Não ironicamente o menino que foi candidato a prefeito do Rio pelo pco em 2020 era meu veterano da faculdade bota fé? Kkkkkkkk,0
['1597657178806317056'],1597657178806317056,"@ricardo_nunessp Olha o nariz de Pinóquio em prefeito, quer que eu coloque umas fotos de HOJE das praças do centro ?",-1
['1597657096128188416'],1597657096128188416,"@RubensNunesMBL ""Srs. Vereadores e prefeito @ricardo_nunessp são 93 mil aposentados e 26 mil pensionistas prejudicados pelo confisco. Todos são eleitores, lembrem-se disso!!
@ricardo_nunessp
@camarasaopaulo
@RubensNunesMBL 
@DrSidneyCruz
@edirsales
@elicorrea
@veramagalhaes
#RicardoNunesAcelera""",r
['1597657075068592128'],1597657075068592128,"O prefeito direto na gemada 🫣

#ChocolateComPimenta",0
['1597656936321015808'],1597656936321015808,O nosso grande prefeito poderia aumentar a faixa de areia né?,0
['1597656729596329984'],1597656729596329984,"@ricardo_nunessp ""Srs. Vereadores e prefeito @ricardo_nunessp são 93 mil aposentados e 26 mil pensionistas prejudicados por este confisco. Todos são eleitores, lembrem-se disso!!
@ricardo_nunessp
@camarasaopaulo
@DrSidneyCruz
@edirsales
@elicorrea
@veramagalhaes
#RicardoNunesAcelera""
PDL92 já!",r
['1597656624231231488'],1597656624231231488,@DiariodaCPTM Parece ser a Prefeito Saladino na linha 10,0
['1597656528244600832'],1597656528244600832,Prefeito de Oriximiná é preso por fraude em licitações e desvio de recursos públicos https://t.co/UdqEcSSoew,0
['1597656501703028737'],1597656501703028737,@celiobalbi Show Deputado Luiz Lima! Sempre tera meu voto! Para Prefeito tambem!,1
['1597656332869726208'],1597656332869726208,Prefeito Celso Góes participa da abertura do encontro internacional de educação ambiental e emergência climática: Da Reflexão à Ação | JNotícias https://t.co/6rzdqT3D1S,0
['1597656204540784640'],1597656204540784640,@creator1890 vamos lá meu povo de Juquitiba eu quero ser o prefeito daqui mudar Juquitiba é lindo ♿ https://t.co/VzwgKylGgm,1
['1597656186446544896'],1597656186446544896,@DiariodaCPTM Prefeito Saladino né?,0
