edit_history_tweet_ids,id,text,label
['1576041257452769280'],1576041257452769280,"Que coisa grave desse jornal, propagar uma fake news tão séria para prejudicar as eleições. 
Muito estranho. https://t.co/yCce0bmtdM",-1
['1576041249735208960'],1576041249735208960,"@AvicoBrasil ANOTEM: Bolsonaro perderá as eleições pela quantidade de eleitores bolsonarista mortos na pandemia. 

A postura de politicamente incorreto irresponsável antivax e a politização da COVID19 terá um custo eleitoral.

Muitos bolsonaristas morreram, alguém sabe quantos?",-1
['1576041246631817217'],1576041246631817217,É impossível Bolsonaro ganhar essas eleições. Você dizer que apoia o Ladrão é muito mais aceito socialmente que dizer que apoia o maluco.,-1
['1576041232786427905'],1576041232786427905,"Compartilho a entrevista ao programa En Conexión, de Miami, conduzido por @cmrondon, no qual falamos sobre as eleições presidenciais brasileiras. 
https://t.co/oUoDtCRLcA
@jgonzalezok 
@ernescoco",0
['1576041227593871360'],1576041227593871360,"@AvicoBrasil @ElesVivos @Cronicamendes @tdspelasvacinas ANOTEM: Bolsonaro perderá as eleições pela quantidade de eleitores bolsonarista mortos na pandemia. 

A postura de politicamente incorreto irresponsável antivax e a politização da COVID19 terá um custo eleitoral.

Muitos bolsonaristas morreram, alguém sabe quantos?",-1
['1576041183536521216'],1576041183536521216,@TSEjusbr Fraudem às eleições pro Ladrão no primeiro turno pra vcs verem a paz em cima de vocês. Vão vendo.,-1
['1576041160174247938'],1576041160174247938,"@MarkRuffalo @juliette O mundo está se metendo onde não lhe diz respeito...
As eleições em 2023 é do Brasil e para o Brasil.
Só assistam de longe. Socialistas milionários de iphone.",-1
['1576041118784856064'],1576041118784856064,Ex do Thalles 100x22 Vini: Acompanhe as eleições presidenciais da Conf em tempo real no nosso canal do YouTube.,0
['1576041101982846978'],1576041101982846978,"@Julianabhe @aqlskkkkj Conselho: passe antes no seu médico e peça uma receitinha de sertralina. Vai precisar em dose alta de mg, quando se deparar com o placar do resultado das eleições. https://t.co/NdkHM7ATZz",0
['1576041099755663361'],1576041099755663361,"@Dra_Deolane QUE TIRO NO PÉ.
BOLSONARO  FOI  INVENTAR  UM VENDEDOR  DE BIJUTERIAS  E VESTIU  O VIGARISTA DE  PADRE.
      BOLSONARO  E O PADRE  SÃO  DOIS  BANDIDOS VIGARISTA.
     O VAGABUNDO  AMIGO  DO BOZO É VENDEDOR  DE BIJUTERIAS.....PODE
https://t.co/2tpUXod2Lg",-1
['1576041098270584837'],1576041098270584837,Ipec: Barbosa tem 56% dos votos válidos no Tocantins e Dimas tem 19% https://t.co/YW5V98YvNG,0
['1576041085524054016'],1576041085524054016,"Pra quem ainda tem dúvida dos candidatos que vai escolher isso aqui ajuda demais:
https://t.co/500McuCKaH",0
