edit_history_tweet_ids,id,text,label
['1576039656684081152'],1576039656684081152,"@Lacan_E_Freud @ReutersPolitics Resumindo: vc é um alienado pelo pt, Enganado pela mídia globo e que nao entende de política, vc apoia ditaduras, comunismo e o socialismo. tudo que não presta, Tudo coisa ruim !",-1
['1576039649100722176'],1576039649100722176,"@felipeneto @VeroInstituto QUE TIRO NO PÉ.
BOLSONARO  FOI  INVENTAR  UM VENDEDOR  DE BIJUTERIAS  E VESTIU  O VIGARISTA DE  PADRE.
      BOLSONARO  E O PADRE  SÃO  DOIS  BANDIDOS VIGARISTA.
     O VAGABUNDO  AMIGO  DO BOZO É VENDEDOR  DE BIJUTERIAS.....PODE
https://t.co/2tpUXnUTx8",-1
['1576039646256979968'],1576039646256979968,"Não aguento mais ver coisa de política, misericórdia",-1
['1576039634874007554'],1576039634874007554,falou de política até brochei mas aí falou de uma música que te lembrou eu então conquistou de novo,0
['1576039634492325888'],1576039634492325888,assim... n é por nada não... mas pq o mark ruffaIo gosta tanto de dar pitaco na política brasileira 🧐,-1
['1576039626254749696'],1576039626254749696,@_manudsa_ Esqueci que você não manja de política igual eu 🥱🙄,-1
['1576039625776300034'],1576039625776300034,Celulares são furtados e suspeitos presos durante caminhada política em Salvador https://t.co/9gqUqkKND5,0
['1576039615361732609'],1576039615361732609,"@tabataamaralsp @caetanoveloso @caetanoveloso ... Vc é um FDP!!!!

#TabataAmaral é mais uma vez detonada nas redes por votar a favor da #privatizaçãodosCorreios

https://t.co/I9ELuYTd5b",-1
['1576039612996517888'],1576039612996517888,"@RenatoF21950536 @RealAleffOliver @gabimadalhano @felipeneto Talvez quem sabe? Vc acha mesmo que um político que está a 30 anos na política com seus filhos, fazendo uma política insignificante, nao tava roubando esses anos todos. Em ligações claras com milícias e igrejas, crescendo patrimônio privado... talvez quem sabe né.",-1
['1576039608332451840'],1576039608332451840,"@felipeneto QUE TIRO NO PÉ.
BOLSONARO  FOI  INVENTAR  UM VENDEDOR  DE BIJUTERIAS  E VESTIU  O VIGARISTA DE  PADRE.
      BOLSONARO  E O PADRE  SÃO  DOIS  BANDIDOS VIGARISTA.
     O VAGABUNDO  AMIGO  DO BOZO É VENDEDOR  DE BIJUTERIAS.....PODE
https://t.co/2tpUXod2Lg",-1
