edit_history_tweet_ids,id,text,topic
['1597432163565461504'],1597432163565461504,estou sem crer que hoje parei pra reproduzir a foto da Carla zambelli https://t.co/fSnMKZXDg8,Carla Zambelli
['1597430727968428037'],1597430727968428037,"@realpfigueiredo @PatinhuLoL Mano, na boa até acho vc um cara do bem, mas vc tá se mostrando um ""MORDE E ASSOPRA"" no caso o ASSOPRO veio antes. Carla Zambelli dando falsas esperanças ao povo, @jairbolsonaro q ñ tem coragem de se pronunciar e dizer a sua militância q o SISTEMA venceu.",Carla Zambelli
['1597428399655780353'],1597428399655780353,@oandarilhodoceu Se o Lula tivesse defendido a cloroquina a Carla Zambelli da esquerda tinha ido atrás tbm,Carla Zambelli
['1597425182238732288'],1597425182238732288,@SelmaCesar3 Com certeza essa viagem dele e da Carla zambelli não foi em vão.,Carla Zambelli
['1597424806840135680'],1597424806840135680,CASSAÇÃO DE CARLA ZAMBELLI https://t.co/YsYy6dOFU7 #peticaopublica #peticao via @peticaopublicab,Carla Zambelli
['1597421212430630913'],1597421212430630913,"@fabifbbr Eduardo Bolsonaro no Catar
Carla Zambelli em Miami
Malafaia em um Resort
E os generais com super salários de até um milhão
👏👏👏👏👏👏👏",Carla Zambelli
['1597420533569957888'],1597420533569957888,"@IcaroSCII Regiane Duarte é uma velha desvairada louca. Infelizmente a personagem tá mais pra Carla Zambelli, que tem poder nas mãos, muita gente apoiando e por isso é muito mais perigosa e não se preocupa em perseguir um negro na rua apontando uma arma pra ele",Carla Zambelli
['1597419900250644480'],1597419900250644480,"Direita está bem Nutella. Só hoje quiseram cancelar @CanalHipocritas carla zambelli , @BolsonaroSP e outros fortes do movimento

E alguns generais.

A esquerda não conseguiu por outros meios e plantou semente q minou.

União e observação nesse momento.

Fogo amigo é bem pior",Carla Zambelli
['1597413587135660032'],1597413587135660032,"@Pietra_SP Como a Zoe Martinez lembrou... Jogaram bola com a cabeça do presidente Bolsonaro, jornalista atacou a filha de 12 anos dele no dia do aniversário dela, lulistas tentaram agredir a deputada Carla zambelli e não teve esse Xororo todo",Carla Zambelli
['1597412521476247552'],1597412521476247552,"@ajovem_patriota Principalmente, o bananinha, Carla Zambelli de saias, deputag.",Carla Zambelli
['1597407055500886017'],1597407055500886017,"@DNRGNMITA Pra mim é indiferente, estamos na frente dos QGs pelo BRASIL, por nossos filhos, pelo futuro e não por políticos ! Até agora, com exceção da Carla Zambelli, não vi nenhum parlamentar.",Carla Zambelli
['1597406949905403905'],1597406949905403905,@NdiaBaptistell3 Ele é de confiança. Sem contar que ele estava junto com Carla Zambelli em Washington levando todas denúncias. Direita não ataca direita. Tenham maturidade. Sem contar que ele é neto do João Figueiredo. Parem de atacar a direita.,Carla Zambelli
['1597402174610636800'],1597402174610636800,"a galera cloroquiner acampada debaixo de sol e chuva na frente dos quartéis, enquanto carla zambelli foi fazer compras em Miami e bananinha foi para catar.

lembrando que para sair do país, os deputados precisam justificar a viagem e pedir autorização. 
mais um acinte https://t.co/j3SJKYzYCF",Carla Zambelli
['1597399445813198848'],1597399445813198848,@Boscardin Show  isso  mesmo  malafaia  nun  RESORT  CARLA ZAMBELLI  fora  e Eduardo Bolsonaro  em Catar  com cá família  gastando  dinheiro  da raspadinha . Gastando  um  dinheiro  que não é dele  e vcs aí  mané  ENFRENTE a porta  de quartel  seus cambadas  de IDIOTAS  AI AONDE ELE ESTAR https://t.co/wmyHTSBzXY,Carla Zambelli
['1597396766785404928'],1597396766785404928,Simplesmente a Carla Zambelli fez participação especial em Wandinha 🤣🤣🤣,Carla Zambelli
['1597396081523859456'],1597396081523859456,"@filipesabara Já foi, amigão! Game over! Não ouviram Janaina quando ela avisou para saírem da bolha. Vcs preferem Eduardo bolsonaro, que está no Qatar passeando (enquanto patriotas levam processo)... ou Carla zambelli, que levou o ""mito"" para o buraco de uma vez por todas, ao empunhar arma rua",Carla Zambelli
['1597395745459802118'],1597395745459802118,"@filipesabara O problema é pessoal lavrador da direita que já trouxeram problemas e alguns ainda trazem...

Allan dos Santos 
Roberto Jefferson 
Carla Zambelli
Sara Winter
Osvaldo Eustáquio 
Daniel Silveira

Perigo.",Carla Zambelli
['1597395307624804352'],1597395307624804352,"@BolsonaroSP Porra !!!!
Está de sacanagem com nossa cara ? E agora , como vamos aguentar esses urubus enchendo o saco???
Não pode ir para os quartéis, mas a Carla zambelli foi...",Carla Zambelli
['1597392565745070080'],1597392565745070080,@Rconstantino Estão fazendo a mesma coisa com a Carla Zambelli.,Carla Zambelli
['1597390355913375744'],1597390355913375744,"@JaspionRedPiLLL @canalCCore2 Ele a Carla zambelli passaram duas semanas juntos ,dela pra cá a mesma tentou no QG levar os manifestantes pra praça dos três poderes, afinal o que está rolando nos bastidores! E um tanto intrigante!",Carla Zambelli
['1597389836679229440'],1597389836679229440,"@AHtrHH @otonjunior @monark Inteligente é Paulista que elege a conja, Dudu bananinha, Carla zambelli....",Carla Zambelli
['1597385542215159808'],1597385542215159808,@andrezamatais @camaradeputados A Carla Zambelli informou? É uma dúvida mesmo,Carla Zambelli
['1597385149649678336'],1597385149649678336,"@Eliassobrio @UOLNoticias Não tem pq ele foi logo descartado por Bolsonaro, não lhe dá capital político. Assim como a Carla Zambelli etc. E assim também será com vc, robô quando a mamata acabar em janeiro!",Carla Zambelli
['1597384812817702912'],1597384812817702912,"@sminellic @AndreJanonesAdv @Rconstantino Você está falando do Bolsonaro, da Carla Zambelli, do Eduardo Bolsonaro ou do Flávio Bolsonaro?",Carla Zambelli
['1597382927783890944'],1597382927783890944,Já prenderam a Carla Zambelli? https://t.co/7kJAYXQiTz,Carla Zambelli
['1597381243569831937'],1597381243569831937,"@antesqueacabe23 E se a copa é fachada ele foi por interesses nossos
Lembra qdo Carla Zambelli foi p EUA e fizeram chabú dizendo q ela fugiu",Carla Zambelli
['1597377552586510336'],1597377552586510336,"@andreporci E o pessoal da manifestação do Bolsonaro  que foi atropelado,por um esquerdopata ninguém fala mais nada prenderam o segurança da Carla Zambelli",Carla Zambelli
