edit_history_tweet_ids,id,text,topic
['1597435845736165376'],1597435845736165376,"@saciplayboy @ciro_nogueira Terminou dia 30/10, mané, não amola.",Ciro
['1597435432072974336'],1597435432072974336,Petição pro Ciro enfiar esse relógio onde dói mais https://t.co/9temcwXH8G,Ciro
['1597435194419843072'],1597435194419843072,@ciro_nogueira Tic tac... Mais 72 horas..,Ciro
['1597435080913276928'],1597435080913276928,"@Rodrigo01061982 @camilads8 @Valdomi88115106 @ciro_nogueira SOU HISTORIADORA, ñ ia falar… SEI O QUE DIGO!",Ciro
['1597433176083030017'],1597433176083030017,"@ciro_nogueira Cortes de novo no MEC de mais de 1 bilhão e meio de reais irão afetar e inviabilizar funcionamento de universidades e institutos Federais 
Vcs estão fazendo a limpa para prejudicar o novo governo.🤬 https://t.co/U3FKasZjja",Ciro
['1597431771632906240'],1597431771632906240,"@Paulogohan13 @caroltypes Melhor seria se Ciro respondesse: ""eu sempre terei Paris. Vc, eu não sei"".",Ciro
['1597431548143620098'],1597431548143620098,"@matue30 Vamo respeitar. Se não fossem os mamadeira de piroca com @neymarjr , o ciro ganharia... viva kkkkk",Ciro
['1597430708762734594'],1597430708762734594,Filmaram Ciro Em País Capitalista Olha No Que DEU #shortsvideo https://t.co/JqpEyFj33r via @YouTube,Ciro
['1597430352913436672'],1597430352913436672,@CrisVolta Ciro avisou - e não foi uma só vez!,Ciro
['1597430315043414016'],1597430315043414016,"@Ticostacruz Percebe-se claramente essa é a parte de trás da carequinha do Ciro, por isso que ele tá sumido... https://t.co/gk52w4hGLO",Ciro
['1597430286073344001'],1597430286073344001,"Meu pai me mandou um áudio de 50 seg falando que o @neymarjr faz falta na seleção, depois perguntou se tava chovendo. Até meu pai que é cego vê essa falta e tu tá aí pagando de Ciro Gomes.",Ciro
['1597430009593225217'],1597430009593225217,"@ciro_nogueira Com o orçamento que vcs deixaram seus filhos de uma Puta, o próximo governo tera uma enorme desafio mesmo vcs Destruiram o Brasil rebanho de corno",Ciro
['1597429712288350208'],1597429712288350208,@rayani_nara @reanjos1972 @MoisesMarianoo @RRPeres56 @ciro_nogueira Vcs continuam acreditando nessa balela de fraude? Quando vão perceber que estão sendo usados pq o Inominável não quer sair do poder por medo de ser preso? Tirem a venda dos olhos,Ciro
['1597429550849425408'],1597429550849425408,"@VEJA @Mleitaonetto Eleitores do Lula estavam atacando o Ciro pelo fato dele não declarar apoio ao larápio, acusavam de ser aliado do Bolsonaro. Agora vocês vem com essa de que são bolsonaristas atacando ele? Ciro conseguiu mais votos com a direita do que com a esquerda.",Ciro
['1597429365125812224'],1597429365125812224,@ciro_nogueira Vocês perderam a eleição. Continuem chorando 😂,Ciro
['1597429361447424000'],1597429361447424000,@ciro_nogueira Perdeu mané!!! Não amola!!!,Ciro
['1597429339829993473'],1597429339829993473,"@alexxelasena @GiseleS11007510 @LUIZPATRIOTA39 Ciro nas manifestações? para de show galera, discursinho petista, continuem se estão se incomodando a ponto de se infiltrar é porque estão no caminho certo, vcs são os verdadeiros patriotas, nunca foi por Bolsonaro é sim pelo Brasil, até dia 31/12 O capitão ainda é o presidente",Ciro
['1597429331172950016'],1597429331172950016,"@MoisesMarianoo @RRPeres56 @ciro_nogueira Vc não sabe nem o que é comunismo, se soubesse não falaria tanta merda",Ciro
['1597429257508073472'],1597429257508073472,"@ciro_nogueira Hammmm, desde a campanha eleitoral... então já sabia que perderiam...",Ciro
['1597429114025422850'],1597429114025422850,"@LUIZPATRIOTA39 Quando não se tem caráter, faça como Ciro Gomes.",Ciro
['1597429037768396800'],1597429037768396800,"@ciro_nogueira E vcs respeitaram alguma coisa? Afundaram o Brasil, estão cortando verbas de tudo e vem falar em estabilidade. Contando as horas para ver vcs fora do governo",Ciro
['1597428930801434624'],1597428930801434624,"@LokosTele @TatiTate3 @vaidesmaiar Bolsonaro nem se compara ao que Lula fez no país. Deixou terra arrasada. Eu não tenho político de estimação. Ele deveria estar dando graças a Deus que caiu fora. Governar com Valdemar, Ciro e Lira. Aff! Os amigos do Lula no mensalão.",Ciro
['1597428754564804608'],1597428754564804608,@ciro_nogueira Falou o cara que entende se caixa de sapato. Aprendeu com o Bozo.,Ciro
['1597428428013449219'],1597428428013449219,@Dwell2 @medicinaupap Ciro Nogueira falando de Bolsonaro              https://t.co/D5tMPcCwvg,Ciro
['1597428361403707393'],1597428361403707393,"@secEduardoRocha Espero que o bolsonaro, ciro ou seja lá quem for te chifre 10x pior!",Ciro
['1597428100136325121'],1597428100136325121,"@ciro_nogueira Totalmente contraditório.... Você esteve presente no MAIOR CAOS QUE SE TEM NOTICIAS NO BRASIL, e agora quer vomitar conselhos   ????   Vade retro   !!!!!",Ciro
['1597428068418977796'],1597428068418977796,"votei a primeira vez na minha vida 
1° turno Ciro 
2 ° turno Lula",Ciro
['1597427992883781632'],1597427992883781632,"@JaspionRedPiLLL @ciro_nogueira Sim, ele está no Qatar com o Azi …",Ciro
['1597427857398980609'],1597427857398980609,@medicinaupap Segue o link de Ciro Nogueira falando do Bozo antes de ganhar o ministério da casa civil,Ciro
['1597427738658238465'],1597427738658238465,nossa mas o ciro ta cada dia mais bonito vsf,Ciro
['1597427658429960192'],1597427658429960192,"@ciro_nogueira Sem dúvidas,  uma ótima voz e conselhos para ouvir, são os seus.... REI DO CENTRÃO   !!!!",Ciro
['1597427591501471744'],1597427591501471744,"@Toml34212134 @PrPrangella7 @jadiellyalves @rafacarrilhor Que mané nomeação, estão lá pq foram feitos de trouxas por 4 anos, um marmanjão desse foi feito de otário pela famílicia e agora está ai passando vergonha na net e nas ruas, Fosse preocupado com ministro iria para rua quando o Bolsoverme indicou o Ciro Nogueira, Onyx e outros.",Ciro
['1597427179713089536'],1597427179713089536,@jamiledarco @KleberAFSouza @ciro_nogueira Vamos ser bem claro https://t.co/2QMIYQVi95,Ciro
['1597427073735225344'],1597427073735225344,@medicinaupap Poderia colocar o vídeode Ciro Nogueira falando de Bolsonaro,Ciro
['1597426815307350016'],1597426815307350016,"@ciro_nogueira @NizyBrasil E não existe nenhuma das estabilidades citadas com o STF violando Ordenamento Jurídico Brasileiro, e o Congresso Nacional inerte ante o descalabro da justiça.",Ciro
['1597426765940789250'],1597426765940789250,@Bubble_blee @ciro_nogueira Boa amigo @Bubble_blee 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,Ciro
['1597426746735067136'],1597426746735067136,@Priscil24616526 @cirogomes Sempre é tempo para a redenção. A esquerda brasileira é uma vergonha. Ciro é o melhor.,Ciro
['1597426503922626560'],1597426503922626560,"@Nailton31352715 @ciro_nogueira Acorda mesmo, pois a história irá lhe cobrar caro.",Ciro
['1597426432619466752'],1597426432619466752,"@USInsiderBrazil @cirogomes Depois do papelão que fez no segundo turno, não se elege nem pra síndico.
Não foi atoa que boa parte dos eleitores de Ciro tinha segunda opção de voto Bolsonaro.
Ciro é um mimado q não entendeu/ ignorou o papel dessa eleição, nem mesmo no segundo turno foi responsável.",Ciro
['1597426276490674181'],1597426276490674181,"@GFiuza_Oficial Os eleitores do Ciro em sua maioria votaram no Lula, os eleitores da Marina Silva, os eleitores da Simone Tebet, como alguém se atreve a pensar que teve roubo? Como alguém consegue imaginar que  Lula  não  venceu?",Ciro
['1597426146874097664'],1597426146874097664,"@TheFlopis @Thiago24544129 @Gabrielfgomess @joaodorojao @mylaura_m @monark Cara, fui socialista até meus 30 anos. Nada que venha de alguém que se entitula comunista me convence, pq convivendo esses anos, sei que vale tudo em nome da ""revolução"", de corrupção e falsas narrativas a revisionismo histórico.

Ciro resumiu isso bem. https://t.co/0lyBcQo6Fd",Ciro
['1597426071489499136'],1597426071489499136,"@AlessandroLoio2 Não, ambos são de esquerda! Ciro e Tebet não representam a maioria.",Ciro
['1597425692945580033'],1597425692945580033,@ciro_nogueira O Ladrão não sobe a rampa ! #BolsonaroOrgulhoDoBrasil,Ciro
