edit_history_tweet_ids,id,text,topic
['1597438177467564032'],1597438177467564032,"Isso é golpismo! Atentado contra a democracia! Ninguém que ocupa um cargo público, quanto mais um funcionário público como um juiz, tem o direito de se perpetuar no poder, se blindar para fazer o que bem entende sem sofrer consequências. https://t.co/UnFasakBbT",Democracia
['1597437987155226625'],1597437987155226625,@Damadeferroofic Comunistas só falam em democracia. Esquecem que a democracia tem tolerância. Mas o comunismo não é tolerante. Quem não adere seu movimento. É excluído totalmente. No comunismo  não a pluralidade.,Democracia
['1597437940028051458'],1597437940028051458,"@WSarai Pois é, o cumpanhero Hugo CHAVEZ também dizia que não era comunista🤡🤡Já o LARAPIO disse que na Venezuela  tinha “ Democracia demais “ https://t.co/txfyLgZ5E3",Democracia
['1597437927348645888'],1597437927348645888,"@Th3usV1ctor @EduFarah @Rconstantino Voltamos aos bons tempos!
Tancredo vivia as turras com Ulisses, que brigava com Covas, que lutava com Brizola, que esculachava o FHC e Lula divergindo de tudo e todos.
Isso é democracia e política.
Não há um comando central... isso é próprio de governos totalitários.",Democracia
['1597437857676742656'],1597437857676742656,"@jvnunesz Faz o L de democracia e apoia país que mata mulheres por usar um véu errado, lixo",Democracia
['1597437830770601985'],1597437830770601985,"@UOLNoticias Não é democracia. É um monte de besta em frente dos quartéis querendo reverter eleições limpas pedindo golpe, a família Bolsonaro já reconheceu o resultado, mas, usa as bestas pra causar tumulto,digo, O gado, desculpe se magoei.",Democracia
['1597437666643025924'],1597437666643025924,@anitablian Não tem excesso algum. Isso se chama ciência e democracia.,Democracia
['1597437626067619840'],1597437626067619840,"@LulaOficial Vai ex-presidiario 
Lula9 
Você sabe que ganhou com ajuda do Alexandre podre,  e você, está vendo o que o Brasil quer ... Que você preso é pagando pelo seus crime. Pois você não foi absorvido e sim mudado de cidade . Luladrão
Deus
Patrícia
Família 
Democracia
Direito a liberdade",Democracia
['1597437523898220544'],1597437523898220544,"Esta conta 👤 não aceita NENHUMA crítica 😤😤 a purpouffany 🇧🇷. Aqui vivemos uma monarquia 🏰 onde ela é rainha👑. Ela fala 👅, eu escuto👂. Ela pede 🗣️, eu faço 😳. Ela manda 😎, eu obedeço💪. Aqui a palavra dela é lei 😌📃 e não há democracia.",Democracia
['1597437339806334976'],1597437339806334976,"@delucca Kkk...luta pela democracia que eles não aceitam..kk.minions não par mesmo...Enquanto 1 dos integrantes da familicia, está Usufruindo do meu dinheiro e do dele lá no Catar😂😂🤦‍♂️🤦‍♂️",Democracia
['1597437253739245569'],1597437253739245569,"Gil e sua ""democracia"" 🙄 https://t.co/0YxmGlSRER",Democracia
['1597437190325538818'],1597437190325538818,@J_LIVRES São Pedro é a favor da democracia,Democracia
['1597437186424860673'],1597437186424860673,"@RabeloDionatan @DefesaGovBr A democracia venceu, mesmo com as blitz no Nordeste pro povo não conseguir votar
Eu sou eleitora, votei no Lula 
Aceitem a democracia seus golpistas
Nazistas  vc querem é guerra civil pois o exército não pode atender a 49% da população!!!!!",Democracia
['1597437072620785664'],1597437072620785664,"@SigaGazetaBR Todo dia é uma chinelada na cara da democracia provinda de quem não recebeu UM voto! @SenadoFederal e o Pachecú, são os maiores culpados dessa patifaria que virou o Brasil.",Democracia
['1597436989720387585'],1597436989720387585,"É difícil ver as pessoas defendendo a democracia quando o problema não é ela e sim o miliciano, militar borra botas acostumado a embolsar centenas de milhares de reais com desvio de armas e munições que de repente passou a abocanhar milhões esse sujeito não vai largar o osso.",Democracia
['1597436857297801218'],1597436857297801218,@efemenine @Monica61001066 @JudsonLins1 @realpfigueiredo Então vai la e le minhas respostas... respondi a mesma pergunta para duas pessoas diferentes... e ninguem me convenceu de que o Paulo esta a favor do Brasil. Não conseguem resolver nem a democracia dos EUA querem se meter na nossa fazendo o que eles fizeram lá. 🤷‍♀️🤔,Democracia
['1597436504296816641'],1597436504296816641,"@Gigio19461 @keilaBrasilsou1 @realpfigueiredo Só para seu conhecimento não estamos aqui pelos filhos nem pelo pai isso quem diz é os petistas ignorastes, sem conhecimento de constituição federal e de democracia, estamos aqui pelo Brasil e pela pátria pois os direitos fundamentais estão sendo violados, seu seguidor do molusco",Democracia
['1597436453298262018'],1597436453298262018,@4poc4lips3 @JanainaDoBrasil @lussu6 Ensine o que é democracia.,Democracia
['1597436365763137537'],1597436365763137537,"Eu odeio ls branco de Salvador eles são insuportáveis não tenho nenhuma vontade de dialogar, a falsa ideia de democracia racial que Salvador se afundou as vezes me um ódio de ouvir/ler certas coisas. O negro de Salvador não pode ter nem ódio",Democracia
['1597436283453775872'],1597436283453775872,@Emerson_jfs @Patricia1SA Mas para esperar a próxima eleição não precisa ser na frente de quartel... Vão pra casa...sejam oposição e daqui 4 anos tentem ganhar .. isso é legal e se chama democracia .. sempre foi assim... Nem dói...,Democracia
['1597436216814993408'],1597436216814993408,"@gleisi O que e democracia? 
 O que e respeitar os votos?
Porque infligir a lei,e dizer não a parcialidade ?
Porque 1 presidente do TSE ,se envolve no que não é de sua alçada e proíbe tudo e todo de liberdade de expressão. 
Resumindo:Favorecer 1 lado, não eleições não é democracia legal",Democracia
['1597436099508375552'],1597436099508375552,"@R_Vicente1985 @viniciuscfp82 Filhinho, eu sei que vcs estão desorientados e precisando de ajuda psiquiátrica pra superar a negação que sentem pela Vitória do Lula e da Democracia. Mas pra tratar desse transtorno vcs precisam ir pra casa primeiro. Fica calmo que tudo vai dar certo, tá?",Democracia
['1597436014880251906'],1597436014880251906,"@PATRlOTAS A muito tempo isso deixou de ser sobre Bolsonaro ou qualquer político 
ACORDA !! 
no meio das manifestações a conversa é outra É SOBRE DEMOCRACIA É CONTRA  A CENSURA É SOBRE DITADURA DE TOGA 
ACORDA !! 
É  irrelevante Eduardo na copa",Democracia
['1597435999235493888'],1597435999235493888,"@mariacleto22 @LUIZPATRIOTA39 Só se for a liberdade de cometer crimes...contra a democracia, contra o Estado Democrático de Direito, contra a educação, contra as minorias, como vcs vem fazendo há quatro anos... Ô gente canalha!!!!",Democracia
['1597435990628794368'],1597435990628794368,"@MAGELAGR4 Por tudo isso estamos vendo o quão difícil é tirar uma ideologia de 
fascismo do poder 
Não podemos nunca mais deixar isso
Se instalar na democracia brasileira",Democracia
