edit_history_tweet_ids,id,text,topic
['1597437387822759936'],1597437387822759936,"Só falta essa galera entender, que esse pessoal que está nas ruas, nos quartéis, de nada tem a ver com Bolsonaro, ou Eduardo Bolsonaro e afins!! Esse povo, é o mesmo que foi pras ruas derrubar Dilma Rousseff, é um movimento Anti-PT. Não é por Bolsonaro!! É pelo Brasil 🇧🇷💚💛",Dilma
['1597437316213387265'],1597437316213387265,"@senadorhumberto Não meu querido 🙄 vc está enganado...antes do Bolsonaro teve a Dilma, e antes da Dilma teve o Lula por algum tempo. Veio destruído de lá!! Bolsonaro só fez foi consertar a cagada que vcs fizeram!! Se esconde pq tá passando vergonha 🙆🏼‍♀️",Dilma
['1597437251688226816'],1597437251688226816,A DILMA VOLTOU. https://t.co/Z3j0DGb5iI,Dilma
['1597436977372344320'],1597436977372344320,@flferronato E  pode Dilma  sair  infartada e com muito câncer! Frase Jair Messias,Dilma
['1597436197353443328'],1597436197353443328,@o_antagonista LULA DIZ QUE VAI RESGATAR A BANDEIRA DO BRASIL QUE O BOLSONARO ROUBOU.BOLSONARO TROUXE O PATRIOTISMO DE VOLTA. LULA CAGOU PARA OS SÍMBOLOS DO BRASIL QUANDO PRESUDENTE. ELE E DILMA.  SÓ VENERARAM A FOICE E O MARTELO.,Dilma
['1597436195067564032'],1597436195067564032,"@kuhhakgo @anaonuno @FabianoLus4 @felipeneto Vão fazer o que sempre fizeram, ir construindo a imagem de um novo candidato para ser lançado no lugar do Lula na próxima eleição, assim como foi feito com Dilma e Haddad. Lula já tem estabilidade, o que ele ia buscar se perpetuando no poder? Dinheiro? Fama? Ele já tem tudo isso",Dilma
['1597436166566858753'],1597436166566858753,"A regulamentação das redes sociais no Brasil já começou como prometido, o Tribunal Superior  (TSE) contratou a empresa Partners Comunicação Integrada para monitorar as redes sociais. 
Ministério da Fazenda governo de Dilma teria recebido propina desta empresa que foi contratada",Dilma
['1597435965836267521'],1597435965836267521,@IvanValente Desgoverno foi a dilma,Dilma
['1597435830838374400'],1597435830838374400,"@aassibarreto Lembro que a Dilma já falou sobre a aposta nos milicos, dando exemplo do que o Chávez fez.",Dilma
['1597435621085446145'],1597435621085446145,"@randolfeap Por favor senador Randolfe Rodrigues;sempre admirei sua postura CONTRA OS PACOTES DE MALDADES DO GOVERNO LULA-DILMA(2002-2016,) e confesso que o senhor mudou seu posicionamento muito rapido! Aqui no RJ FOI O ESTADO DETENTOR DA MAIOR FARRA DA TERRA NESSE PERÍODO DESATROSO .",Dilma
['1597435103541866497'],1597435103541866497,@KidBandeira @Rubem_93 @PastorMalafaia A Dilma sofreu um impeachment. O Lula foi preso.  Até hoje procuro as razões concretas e não se acha.  FAKE NEWS.  Eu não quero que Bolsonaro seja preso não.  Mesmo com os 51 imóveis. (Pode ser FAKE NeWS) .,Dilma
['1597435013049782272'],1597435013049782272,@Matth_Terceiro @bebelpeach @HiraoITiro @vpc23 @dubessonego @caioquero 2016 e 2017 foi dilma ne?,Dilma
['1597434875187200001'],1597434875187200001,"@Queiroz_Lima @jeremiascrf @eliasjabbour Vc chama de teoria da conspiração o fato comprovado da intervenção dos EUA no governo Dilma, mas chama de verdade insinuações de que o governo chinês sumiu com um bilionário. Ou seja, o seu critério é o que te convém. Já deu no saco. É bloc.

https://t.co/SLfCicLfCt",Dilma
['1597434815976214529'],1597434815976214529,"@gilsonmachadont Vc entende de caserna , o mesmo que a Dilma entende de Português",Dilma
['1597434724926251009'],1597434724926251009,"@_bubuia Nossa,  o comentário dele me lembrou a carta do Temer pra Dilma. Pqp kkkk chato e piegas",Dilma
['1597434320746033153'],1597434320746033153,"@marcoss40644474 @P_droMenezes o que você não entendeu é que isso foi um erro da Dilma num momento de pressão, e algo que saiu do controle do partido. Ali, por acaso, houve uma convergência de interesses, do clamor popular e do excesso de poder do PT que interessava à mídia combater",Dilma
