edit_history_tweet_ids,id,text,topic
['1597438236632453121'],1597438236632453121,"Pois é, cadê a imprensa que foi pesquisar o valor da camisa da @JanjaLula ir pesquisar o valor da passagem e hospedagem do Eduardo Bolsonaro no Catar? https://t.co/dlSHMxHfMA",Eduardo Bolsonaro
['1597438168445304832'],1597438168445304832,cade tua voz agora Eduardo bolsonaro ? https://t.co/uA8ViYVEiZ,Eduardo Bolsonaro
['1597438078687191040'],1597438078687191040,@Rconstantino Quem disse q o Eduardo bolsonaro está no nosso time? Cara passou o mandato todo sem fazer nada,Eduardo Bolsonaro
['1597438039281672192'],1597438039281672192,"@marcelorubens Eduardo Bolsonaro no Catar sepulta a narrativa da esquerda de que Bolsonaro ou seus filhos estariam fomentando um ""golpe"" no país. Ou seja, só prova que as manifestações são absolutamente orgânicas e exclusivas do POVO.",Eduardo Bolsonaro
['1597438009548636160'],1597438009548636160,"@RubensOtoni NÃO LUTAMOSD POR EDUARDO BOLSONARO,OU JAIR BOLSONARO;LUTAMOS CONTRA OS TRAIDORES DO BRASIL,LUTAMOS PELA NOSSA LIBERDADE,PELA JUSTIÇA QUE NÃO EXISTE MAIS,E CONTRA VOCÊS DA IMPRESSA DA FOLHA DE PAGAMENTO DO PT",Eduardo Bolsonaro
['1597437809941696512'],1597437809941696512,"@MBLivre Muito obrigada MBL, por divulgar nossas manifestações em frente aos quartéis,  já que a mídia podre não divulga.  Quanto ao Eduardo Bolsonaro,  não me interessa,  estou nas ruas pelo meu país,  não por um único homem.",Eduardo Bolsonaro
['1597437773966766080'],1597437773966766080,"É ISSO MESMO! Mark Zuckerberg PERDEU mais de US$ 100 BILHÕES em 1 ÚNICO ANO e DESPENCA em listas de bilionários! 

- - -
#: Sem Neymar , Lacrou , Bruno Guimarães , Everton Ribeiro, craque , Sarah , #ProvaDeFogo , Eduardo Bolsonaro , Brasil e França , BR-376 . https://t.co/nzXydYvQj3",Eduardo Bolsonaro
['1597437737162113024'],1597437737162113024,Eu tô ficando com ódio esse Eduardo bolsonaro vai assistir jogo da seleção brasileira no Catar que tem muitos babacas fechando rodovia impedindo dos motoristas sair da cidade pra outra por causa do bolsonaro esses bolsonaristas são muito idiotas mesmo,Eduardo Bolsonaro
['1597437689498071041'],1597437689498071041,"- Você viu o Eduardo Bolsonaro na Copa??

- Vi, e daí!?

- Você vai continuar na rua, na chuva e ele passeando no Qatar!?

- Claro! Não tô na rua por causa do Eduardo Bolsonaro nem por causa de nenhum político, tô na rua por causa dos meus filhos, pela Liberdade e pelo meu país!",Eduardo Bolsonaro
['1597437640839933952'],1597437640839933952,"... agora, que esse Eduardo Bolsonaro é essa Zambeli desgastaram a imagem do Presidente, disso não tenho dúvidas. Mas continuo Bolsonaro, até debaixo d'água! https://t.co/m5qj2wEKqV",Eduardo Bolsonaro
