edit_history_tweet_ids,id,text,topic
['1597438232031277056'],1597438232031277056,como posso ser essa ZERO A ESQUERDA ANIMAL IMBECIL CARENTE FRUSTRADA SEXUALMENTE,Esquerda
['1597438201487978496'],1597438201487978496,"@LUIZPATRIOTA39 Que papo de infiltrado! Cai na real: Quem nos apelidou de Bolsonaristas foi a esquerda invejosa. Nós sempre fomos PATRIOTAS CONSERVADORES DE DIREITA. Não estamos nas frentes dos Quartéis por causa do Presidente Bolsonaro, mas porque fomos roubados nas eleições e outras coisas.",Esquerda
['1597438185084096517'],1597438185084096517,"@geraldoalckmin @LulaOficial Me recuso a acreditar nessas teorias conspiratórias, mas o cara evita mostrar a mão esquerda e o sorriso dele está diferente. O Nine não fecha os olhos para rir. A altura dele é diferente, está mais bombado e com menos rugas....",Esquerda
['1597438176100253697'],1597438176100253697,"@delucca Não é da sua conta! Antes de falar dos outros, olhe o próprio rabo! Ele tem dinheiro para isso é não é vagabundo ladrão como esses da esquerda!",Esquerda
['1597438140280868864'],1597438140280868864,"@CarlosCanbrasil @miguilimina @folha Sabe qual problema de vcs? 
quando esquerda vai pra protestar, ela faz história .
Vcs vão pra ser a piada pra o resto do mundo",Esquerda
['1597438136144969729'],1597438136144969729,@ciliatmagalhaes Seguindo!!! Esquerda segue esquerda 👍,Esquerda
['1597438095812882432'],1597438095812882432,Agora eu tô me lembrando sobre alguém ter dito q o próximo passo da esquerda eh se infiltrar na direita. Isso já esta se concretizando. Vamos ficar espertos. A hora eh de união. Eles sabem q a vitória está próxima 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,Esquerda
['1597438039281672192'],1597438039281672192,"@marcelorubens Eduardo Bolsonaro no Catar sepulta a narrativa da esquerda de que Bolsonaro ou seus filhos estariam fomentando um ""golpe"" no país. Ou seja, só prova que as manifestações são absolutamente orgânicas e exclusivas do POVO.",Esquerda
['1597438037835010048'],1597438037835010048,@veronikapistore A diferença é que eles não defendem a esquerda e defendem Bolsonaro que não defende controle das redes e nem censura.,Esquerda
['1597438005828288513'],1597438005828288513,"@filipesabara Velho infelizmente a direita é fraca infantil e cai em todas falácias da esquerda. A esquerda seguiu certinho a cartilha e aparelhou todo o sistema, a direita caiu em todas.",Esquerda
['1597438005077487616'],1597438005077487616,"@BenadoFN @1oldjao @Nathesfn confere se eu to certo, e pq ficou mt bom, o desenho e a direita e a foto original na esquerda ne",Esquerda
['1597437976442966016'],1597437976442966016,"@UOL @millylacombe O cara é um ""luva de pedreiro"" que deu certo como jogador, e esses canalhas da esquerda tentam manipula-lo!!!",Esquerda
['1597437967316176896'],1597437967316176896,"@JosHumbertoFe17 Kkkkkkkkkkkk capaz mesmo. Um cara que lutou a vida toda pra chegar onde chegou e vocês acharem que ele tem mamata com político, é das coisas mais ridículas que vocês poderiam falar. Está confundindo com os artistas de esquerda.",Esquerda
['1597437957237276674'],1597437957237276674,"@BoicaIslene Me espanta a falta de percepção de algumas pessoas. A esquerda planejou e ocupou espaços em lugares estratégicos: Igreja, tribunais, ministério público, universidades, etc. Como que ainda conseguem acreditar que eles não tentariam espaços dentro das FFAA? E se conseguiram?",Esquerda
['1597437955756654593'],1597437955756654593,"@NunaLopes2 2 quero ver qual lado viverá melhor. Não desejo o mal pra ninguém, mas com o plano óbvio da esquerda. Sei que muitos vão se prejudicar, os primeiros serão os pobres, depois a classe média, já os ricos sairão antes pra não derreterem seu patrimônio aqui… não julgo, faria o mesmo.",Esquerda
['1597437937360474112'],1597437937360474112,@Amaro_Coronel @flammaro Porque será que o pessoal da esquerda está tão enlouquecido com esse fato?! Porque todos estão compartilhando essa foto?!?! Estão tentando usar isso a favor deles! Não vamos deixar!,Esquerda
['1597437932423753729'],1597437932423753729,"@JovemPanNews Só mesmo um louco pra acreditar no nosso congresso, viram companheiros na primeira proposta da esquerda. Alguém tem dúvidas?",Esquerda
['1597437897560719361'],1597437897560719361,"@reskada o proprio corte de ""socialismo autoritario e paranoico"" corta uma parte bem grande de varias vertentes da esquerda radical, que impressionantemente voce escolhe ignorar e englobar em autoritaria e maniaca",Esquerda
['1597437842112020480'],1597437842112020480,Louvo a Deus pela vida de jornalistas corajosos que repercutem os gritos dos brasileiros inconformafos com o golpe de Estado da esquerda.! https://t.co/6koT8NlIeW,Esquerda
['1597437827582922752'],1597437827582922752,"@AneHorst ele sempre foi de esquerda, sem novidade. É que voces nao pesquisam, o que tem de canhota na Força aerea, e Marinha....🤦",Esquerda
['1597437822582956032'],1597437822582956032,"Todo castigo pra bolsocorno é pouco.

Eles vão tomar chuva na cara e muita borrachada no lombo ainda. E SE NÃO FOR SUFICIENTE, vão tomar 1 pau fuddo da Esquerda; maior que da PM, inclusive.

É só tentarem fazer baderna no dia errado pra querer impedir alguma coisa. SÓ TENTA 🤡🤌 https://t.co/Phhp6m4rvG",Esquerda
['1597437748163801090'],1597437748163801090,"@nzmendes1 Concordo, temos que amuderecer muito ainda. A Esquerda sempre aplica o mesmo golpe e a gente cai. Essa turma sabe o quanto é importante para nós a lealdade e como a traição desestabiliza nosso emocional. Atenção meu povo o jogo é bruto.",Esquerda
['1597437719999033346'],1597437719999033346,@ggabrielbranco tava em pé virado pra esquerda com um pe na frente e outro atras?,Esquerda
