edit_history_tweet_ids,id,text,topic
['1597437676881580032'],1597437676881580032,"Rodrigo Garcia defende aumento do salário do governador: ""Milhares de pessoas dependem deste valor"" https://t.co/dxoXWeQz0L @veramagalhaes @rodrigogarcia_ #Rodaviva #jornalistavitor",Governador
['1597437384383434752'],1597437384383434752,"@Vilela_Palestra @krlosgrego @CentralEleicoes @ValdoCruz @GloboNews Desde quando o povo reconhece o melhor.
Que é caso dos governos do PT na Bahia.
Rui revolucionou a Educação e saúde na Bahia.
Foi o governador que mais fez investimentos na segurança.
Não só na segurança como em outros setores.
A Bahia sabe quem fez.",Governador
['1597437329819303936'],1597437329819303936,@rodrigogarcia_ Cara você foi o 1º Governador e não conseguir ir se quer pro 2º turno na reeleição. Recolha-se a sua insignificância.,Governador
['1597437108280758272'],1597437108280758272,@NarleyResende @ratinho_jr Quem falou logo que aconteceu a tragédia no Paraná e enviou equipes de socorro foi o governador catarinense @CarlosMoises … https://t.co/B3tM1bbxTk,Governador
['1597436531664654336'],1597436531664654336,@NarleyResende @ratinho_jr O PARANÁ NÃO TEM GOVERNADOR,Governador
['1597436309848862721'],1597436309848862721,"Governador @ratinho_jr ainda não falou nada sobre o deslizamento. Agora, a pedra que está há um mês na BR-277 ficou um pouco mais grave. Como o trecho está sem concessionária, após investigação e confusões pós-Lava Jato, também tem interdição parcial. Sul isolado",Governador
['1597435940095475712'],1597435940095475712,"@IvanValente Tá na hora de você trabalhar
Vai ficar falando mau do GOVERNADOR Tarcísio no Twitter?? 
Pra que q eu te pago???",Governador
['1597435816581951488'],1597435816581951488,@DivaniRocha O poder emana do povo. Façam resistência a esse governador de merda.,Governador
['1597434927750189056'],1597434927750189056,@andersongtorres @PRFBrasil @JusticaGovBR Dr  Wanderson  sou  Eliane  da  assessoria   do  governador   ibanes  preciso  falar  com  sr  tem  como  ?  Como  faço ??,Governador
['1597434927192367105'],1597434927192367105,Entrevista com o governador @rodrigogarcia_ no @rodaviva https://t.co/tbSY6bk50h,Governador
['1597434740591579136'],1597434740591579136,"@deciolimapt Para alguém que tentou ser governador do estado, o mínimo esperado seria defender seu estado, mas fica aí de mimimi, desmerecendo…
Daqui a quatro anos, faz um favor aos catarinenses, não gaste o dinheiro do fundo partidário ainda mais em vão.",Governador
['1597434075551129600'],1597434075551129600,"Enquanto isso aqui na Bahia, o governador volta com o cerceamento das liberdades e, claro, o ESTADO cuida de vc, boa focinheira e aceita! Não posso imaginar o Brasil escravizado! @Rconstantino https://t.co/ZxpmTke8Bb",Governador
['1597433974279663617'],1597433974279663617,Voz do nosso governador Tarcísio https://t.co/XfGowxWS9n,Governador
['1597433444388462592'],1597433444388462592,"@Estadao @EstadaoPolitica Ele ""aceita"" ? Um governador de estado dizer isto do Presidente da República !!  Mas é um idiota mesmo. Tem que dar graças a Deus que Lula é estadista e não o delinquente que tá da presidência, que só conversava com quem o apoiava incondicionalmente. É cada uma que parece duas !",Governador
