edit_history_tweet_ids,id,text,topic
['1597433411958108161'],1597433411958108161,@GuilhermeBoulos Atesta Guilherme Boulos!! Muita credibilidade! hahahaha,Guilherme Boulos
['1597428657907437569'],1597428657907437569,"@natalia29pco Quem, o Guilherme Boulos no gabinete das cidades do governo Lula ? https://t.co/vVK2LCV0Qn",Guilherme Boulos
['1597427668517294080'],1597427668517294080,@NildoOuriques Guilherme Boulos PSOL no gabinete das cidades do governo Luli é dependência do dindin federal Nildão ? https://t.co/SCINlKJF3R,Guilherme Boulos
['1597425568588648448'],1597425568588648448,"@GuilhermeBoulos Guilherme Boulos
Deixa de ser idiota: ele está lá porque pode: e tá la torcendo pelo Brasil! Se eu tivesse condições financeiras estava lá também dando força pra nossa seleção...",Guilherme Boulos
['1597425122348240898'],1597425122348240898,"""AH mas tem mais gente da esquerda"", 

sim alecrim dourado tem, mas tu acha que a Vera Lucia, a Gleisi Hoffman, Leonardo Pericles, Guilherme Boulos, etc.. tem nome e força para uma eleição de presidente, pfvr né bicho...

A próxima eleição promete e muito...",Guilherme Boulos
['1597415168103047169'],1597415168103047169,"@camff0 @sergioluisfer1 Além de burro é petista kkkkkkkkkkkkk, oq o cara apoiar o cara de bigodinho tem a ver com o Bolsonaro??? Kkkkkkkkkkkkk
Cadê as provas?? Não tem. Sabe pq? Pq a fonte de notícias dele é o Guilherme Boulos KKKKKKKKKKKK",Guilherme Boulos
['1597411205316227072'],1597411205316227072,@Michael94997502 Guilherme Boulos.,Guilherme Boulos
['1597405492586086400'],1597405492586086400,@GuilhermeBoulos Se ele fez esta certíssimo em fazer isso é menos dinheiro para o Nine e seus companheiros desviarem. Você deve estar brabinho por é menos dinheiro para ser desviado né  Guilherme Boulos 😏,Guilherme Boulos
['1597402786479865856'],1597402786479865856,"@Henri090798 @iitblab @pingucopinga Ele apoiou o Guilherme Boulos em SP.
Boulos faz parte do Partido SOCIALISMO e Liberdade, e a lei da Igreja proíbe que sacerdotes e fiéis católicos façam apologia ao socialismo e similares por serem doutrinas ateias que vão contra a Doutrina Social da Igreja e direitos naturais.",Guilherme Boulos
['1597397801876746240'],1597397801876746240,@GuilhermeBoulos Esse Guilherme Boulos deve ter feito morada na fila do cinismo e da cara de pau !,Guilherme Boulos
['1597388896643731457'],1597388896643731457,"@MonicaC28999872 @felipeneto Hipocrisia enorme de sua parte. 

Quando o Guilherme Boulos e seus apoiadores agrediram o Militante da MBL (Pedro Arthur), não vi uma lamentação dessas.

Quando agrediram o Kim Kataguire numa universidade na sexta, também não vi uma lamentação dessas",Guilherme Boulos
['1597387971572793346'],1597387971572793346,@MauMeirelles Discordo de vc Guilherme Boulos,Guilherme Boulos
['1597385815499296769'],1597385815499296769,@MauMeirelles Concordo com vc guilherme boulos,Guilherme Boulos
['1597383184215289856'],1597383184215289856,"@GuilhermeBoulos Olha que fala um invasor de terás guilherme que dá crédito a que vc fala Boulos, kkkkk melhor fosse bosta.",Guilherme Boulos
['1597381566564794370'],1597381566564794370,"No ano passado, a deputada federal Gleisi Hoffmann (PT) e deputado federal eleito Guilherme Boulos (PSOL), também tiveram seus dados alterados na plataforma do SUS.
https://t.co/kdoTJspNBP",Guilherme Boulos
['1597370835438034946'],1597370835438034946,"@GuilhermeBoulos uma porrada de gente acredita na narrativa do Guilherme boulos, começam a tirar conclusões com base no tweet dele , mas não vão atrás de saber a vdd em outros meios mas confiáveis de informação...essas são as pessoas que  votam no pt .. desinformados e alienados",Guilherme Boulos
['1597365730542260226'],1597365730542260226,"@x9_guilherme @biogivas Citar Boulos como referência? Que moral, hein... Com todo respeito, VTNC!!",Guilherme Boulos
['1597364905799081984'],1597364905799081984,@GuilhermeBoulos A Luta é contra comunistas como o Guilherme Boulos!,Guilherme Boulos
['1597364440487235584'],1597364440487235584,Facção críminosa do MST de Guilherme Boulos  estão em guerra contra o agro e os pecuaristas https://t.co/5PHlP9UEaw,Guilherme Boulos
['1597363689174499329'],1597363689174499329,"@GuilhermeBoulos GUILHERME BOULOS DE 💩, NÃO SE TRATA DE ESQUERDA E DIREITA MAIS, AGORA É BRASIL, ESQUEÇA QUE ESSA ESQUERDA NOJENTA DE QUE VOCÊ FAZ PARTE VAI MUDAR O PENSAMENTO DOS PATRIOTAS.",Guilherme Boulos
['1597356056891498501'],1597356056891498501,"@Berserk12828017 @Biakicis Pior que ver essas imagens, é ter que ler isso de Guilherme Boulos... 

PQP!!!! 😠",Guilherme Boulos
['1597350565029482499'],1597350565029482499,"@GuilhermeBoulos Esse Guilherme Boulos é tão burro e analfabeto que acha que o povo tá nas ruas por alguém.
É pelo Brasil cavalgadura.",Guilherme Boulos
['1597348202948464640'],1597348202948464640,@GuilhermeBoulos O invasor de propriedade privada chamando os outros de hipócritas... Esse Guilherme Boulos é uma piada pronta.,Guilherme Boulos
['1597347509764239360'],1597347509764239360,"@DepSostenes https://t.co/9GPgAaxtSO

A esquerda já pregava 2016 uma sabotagem da copa. “NÃO VAI TER COPA”  “se quisesse ser defendido na rua, [o governo] teria que se tornar defensável”  Boulos começou uma manifestação para as pessoas não assistirem a copa. Um movimento criado pela esquerda",Guilherme Boulos
['1597347267715174400'],1597347267715174400,"https://t.co/9GPgAaxtSO

A esquerda já pregava 2016 uma sabotagem da copa. “NÃO VAI TER COPA”  “se quisesse ser defendido na rua, [o governo] teria que se tornar defensável”  Boulos começou uma manifestação para as pessoas não assistirem a copa. Um movimento criado pela esquerda",Guilherme Boulos
['1597344527223619586'],1597344527223619586,"@GuilhermeBoulos quem diria Guilherme Boulos querendo falar de hipocrisia🤨, isso me deixa um pouquinho intrigado",Guilherme Boulos
['1597343622391042048'],1597343622391042048,"@fabiofaria https://t.co/9GPgAaxtSO

A esquerda já pregava 2016 uma sabotagem da copa. “NÃO VAI TER COPA”  “se quisesse ser defendido na rua, [o governo] teria que se tornar defensável”  Boulos começou uma manifestação para as pessoas não assistirem a copa. Um movimento criado pela esquerda.",Guilherme Boulos
['1597340906402758657'],1597340906402758657,Guilherme Boulos sai em defesa de Neymar: “Ele tem o direito de ter suas posições” https://t.co/RudIe27fAF,Guilherme Boulos
['1597338286208733184'],1597338286208733184,"Fala baixo q os petistas não sabem ainda, mas em pouco tempo a turma + ideológica da esquerda vai ser trocada pelo CENTRÃO no governo de Lula. foi assim que Bolsonaro sobreviveu aos 4 anos de mandato.

Gente como Guilherme Boulos, Dilma, Haddad, Manuela Davilla serão escanteados.",Guilherme Boulos
['1597331826259169280'],1597331826259169280,Guilherme Fakes news Boulos! Cadê  o Nine?? https://t.co/4jbJTxlk0G,Guilherme Boulos
['1597329223642796033'],1597329223642796033,"@Aleanderson05 @diogolucchini09 @GuilhermeBoulos O gênio,  imagina se o Eduardo tivesse lá no meio. O mesmo Guilherme Boulos ia ta criticando chamando de Golpista.",Guilherme Boulos
['1597328016094683136'],1597328016094683136,"MST liderado por Guilherme Boulos, invandem fazendas e matam animais !!! #ForcasArmadasSalvemOBrasil
@Rodrigo16050453 @PATRlOTAS @FoxNews @Rconstantino @realpfigueiredo @revistaoeste @GFiuza_Oficial @JaspionRedPiLLL https://t.co/rsMT7w9kgq",Guilherme Boulos
['1597318342347751425'],1597318342347751425,@michelcandidos2 Quem é o Guilherme boulos da direita ?,Guilherme Boulos
['1597314628798668800'],1597314628798668800,"@GuilhermeBoulos Enquanto prega divisão de posses e taxação de grandes riquezas, Guilherme Boulos anda de jatinho em campanha política!",Guilherme Boulos
['1597310961152856064'],1597310961152856064,@GuilhermeBoulos Guilherme boulos Jesus vai te pegar entrega a tua vida para o Senhor Jesus enquanto tu tem tempo,Guilherme Boulos
['1597308540049580032'],1597308540049580032,@GuilhermeBoulos Vindo de Guilherme Boulos? Só 💩💩💩,Guilherme Boulos
['1597306975473512448'],1597306975473512448,@GuilhermeBoulos Esse Guilherme Boulos é muito babaca! Que cara tabacudo do caralho,Guilherme Boulos
['1597299935958822912'],1597299935958822912,"@GuilhermeBoulos Primeiro não é ele o presidente!
Segundo tem um q foi eleito e já anda gastando o dinheiro do povo antes do mantado!
Onde está o erro Guilherme Boulos?",Guilherme Boulos
['1597295342667452416'],1597295342667452416,"""O GUILHERME BOULOS da direita disse que amanhã tem mais uma reunião do PR com generais.

PROCEDE?",Guilherme Boulos
['1597290614550560768'],1597290614550560768,"@BrasinhaNews é essa aí a ação inteligente que o Guilherme boulos diz que o estado tem que fazer, deixar os traficantes se prepararem para enfrentar a policia.",Guilherme Boulos
['1597274067216003074'],1597274067216003074,@MauMeirelles Foi mal Guilherme Boulos,Guilherme Boulos
['1597264631374180355'],1597264631374180355,"@GuilhermeBoulos Oi Guilherme Boulos comprei um lote na roça que vale 5.000 reais de entrada mais 72 parcelas de 396,00. Com a vitória do Lula Estou correndo risco do seu pessoal invadir e eu perder meu lote?",Guilherme Boulos
['1597255047402098689'],1597255047402098689,"@Amaro_Coronel Coronel olha essa matéria de Boulos fazendo campanha em 2016 para sobotagem da copa. “NÃO VAI TER COPA”  “se quisesse ser defendido na rua, [o governo] teria que se tornar defensável” 

Eles nos agridem com coisas que já fizeram no passado! Bizarro 

https://t.co/9GPgAaxtSO",Guilherme Boulos
['1597199499038199809'],1597199499038199809,@craniuslupus guilherme boulos e nicolas maduro na mesma imagem,Guilherme Boulos
['1597197293375062016'],1597197293375062016,como pode guilherme boulos um político de esquerda ser genro do trump https://t.co/tTAGfLSewf,Guilherme Boulos
['1597179857808814081'],1597179857808814081,@GuilhermeBoulos Engraçado pai dos pobrezinhos  em ele nao procuro o posto transiano e o Rio São Francisco vocês quer dinheiro para roubar o Guilherme boulos,Guilherme Boulos
