edit_history_tweet_ids,id,text,topic
['1597438211038797824'],1597438211038797824,"@marthaviola3 @Haddad_Fernando Esta tudo errado , o ódio tomou conta do Brasil , os petistas de um lado , condenando Neymar e  bolsonarista  humilhando Gilberto Gil do outro.  Estão todos errados",Haddad
['1597436284469121024'],1597436284469121024,@roxmo Mudar a economia com o Haddad? Faz me rir 🤣,Haddad
['1597436195067564032'],1597436195067564032,"@kuhhakgo @anaonuno @FabianoLus4 @felipeneto Vão fazer o que sempre fizeram, ir construindo a imagem de um novo candidato para ser lançado no lugar do Lula na próxima eleição, assim como foi feito com Dilma e Haddad. Lula já tem estabilidade, o que ele ia buscar se perpetuando no poder? Dinheiro? Fama? Ele já tem tudo isso",Haddad
['1597434421552242690'],1597434421552242690,"@PauloRRusso1 @IracemaHorta Ah tá, então as notícias da CNN de que o Haddad ia ser ministro da economia do Lula, ou o Flávio Dino outra coisa, eram mentira? Qual é o objetivo de dizer que não existem generais receosos? Pra que serve isso? Serve pra ficarmos tranquilos, sem se mexer, nada mais",Haddad
['1597434241431719937'],1597434241431719937,@pedroponciobr Balao de ensaio. Haddad nao ira pra fazenda. PT nao negocia ministerio premium. Algum economista da seita sera ungido (e q tenha algum respeito do mercado).. Haddad eh o boi de piranha pra termometro,Haddad
['1597432765519400960'],1597432765519400960,"@RianRD07 @carnavalhoariel @Li22liberdade @pedro_salis @monark Essas urnas "" unânime"" tiveram de ambos os lados,  na eleição de 2018, tiveram ainda mais urnas unânimes a favor do Haddad, e 2014 tbm
E todas elas, apresentando detalhes, como brancos e nulos, e abstenções tbm",Haddad
['1597432743256027136'],1597432743256027136,"@gazetadopovo Quando se diz que ""Haddad é cotado para ocupar a Pasta da Fazenda"" isso significa dizer que ""Lula é capaz de qualquer coisa"".",Haddad
['1597432623332302849'],1597432623332302849,Lula inclui Haddad em reunião política https://t.co/sqxWoBuTjK,Haddad
['1597432262135812096'],1597432262135812096,"Vergonha alheia. Eu sinto isso ao ver idosos (aposentados) e jovens (patrocinados), tomando chuva na cabeça, em frente aos batalhões pedindo algo inconstitucional, pior, sem nem ao menos uma prova. Em 2018 Haddad perdeu e não reclamaram. Enquanto o clã golpista, está no deserto.",Haddad
['1597431592544108544'],1597431592544108544,"@Haddad_Fernando E em todas as maneiras de contar mentiras você é especialista, né, Poste!? Falou com tanta convicção que não nos deixa dúvidas!",Haddad
['1597431416442454021'],1597431416442454021,"n acredito q vai ter segundo turno, O HADDAD NAO PODE SER PRESIDENTE #eleicoes2057",Haddad
['1597431382073974785'],1597431382073974785,"@gzhdigital @martasfredo Haddad tem vasta experiência em administração pública, já foi ministro, é mestre em economia, é político, é da confiança do presidente eleito e não é oriundo do mercado financeiro. Sim, tem todas as credenciais.",Haddad
['1597431330706718723'],1597431330706718723,"@Haddad_Fernando Com certeza, vocês são especialistas de como contar uma mentira. Já perdi as contas de quantas mentiras ao longo de décadas vocês contam. Se toca cara, vocês são a escória do Brasil",Haddad
['1597431326143320066'],1597431326143320066,"@RianRD07 @carnavalhoariel @Li22liberdade @pedro_salis @monark Ele ganhou em 2018 com 54% o q exclui a unanimidade, e o Haddad terminou com 40% o q mostra q o PT ainda tem um eleitorado grande 
Somado isso aos problemas vindos no governo, não é tão difícil pressupor o resultado final",Haddad
['1597431018600165376'],1597431018600165376,@MarkLeft7 @tataavengers @brasil247 Não: Vamos experimentar o Haddad. O pai sabe o que ta fazendo,Haddad
['1597430747396157440'],1597430747396157440,"@0C0RV0 Haddad apresentou seu doutorado em meados de 1991, na sua tese ele defendia o sucesso da economia socialista na URSS. No mesmo ano, em  novembro de 1991 a URSS acabou totalmente devido sua péssima economia 😂😂😂👍",Haddad
['1597430336949919744'],1597430336949919744,"@Haddad_Fernando (São Paulo, 25 de janeiro de 1963)

FORMAÇÃO ACADÊMICA 

Bacharel em Direito na Universidade de São Paulo (USP) em 1985 

especialização em 
Direito Civil. 

Mestre em Economia 

Doutor em Filosofia 

 Professor de Teoria Política da   Universidade https://t.co/QFiwlEmWtu",Haddad
['1597429967213645825'],1597429967213645825,@Luskyynha_ @LarissaDeLuca_ todo mundo q é de esquerda não entende de política kkkk única justificativa pra aplaudirem haddad no m da economia,Haddad
['1597429039903703041'],1597429039903703041,"@aguedescartoon Na verdade é o Haddad mesmo, você só está em negacao",Haddad
['1597428201097400321'],1597428201097400321,"@Paulomendess0 @Charles85569000 @CentralEleicoes Obrigada, Paulo. O tapado ali em cima insiste em falar que Haddad é Doutor em Economia, quando é em Filosofia, na verdade.",Haddad
['1597428017768587265'],1597428017768587265,Sobre Haddad Ministro da Fazenda: https://t.co/peH6gdoQW3,Haddad
['1597427872427544576'],1597427872427544576,"@GloboNews @NatuzaNery @CesarTralli Haddad chefiando área econômica significa que o Ministro da Fazenda será o Lula e que a Economia vai dançar conforme a política...Com que roupa Lula vai? 
A do 1⁰ mandato ou a do 2⁰ mandato? Lula-Palocci ou Lula-Mantega? Ninguém sabe!",Haddad
['1597427831352438784'],1597427831352438784,"@RRMV15 @gabibdias @tioleo_medeiros @delucca Lula era metalúrgico, Haddad é professor e economista. Agora me diz: Os filhos de Bolsonaro são o quê? Como gostam de passar pano pra esses sem vergonhas que fazem voc~es de otários. Principalmente esses 'pastores"" que só abusam da fé e roubam.",Haddad
['1597427680424919040'],1597427680424919040,"@o_antagonista Agora sim, o país não ficará na beira do abismo! Valeu Haddad....................",Haddad
['1597427323166261255'],1597427323166261255,@carolbyme Haddad foi pior que Pitta. E quer ser pior que Mantega.,Haddad
['1597426380417142784'],1597426380417142784,"@GabyLabree Pare com isso Gaby Labre. É normal da parte dele se indignar, agora viremos o que? Tormamos como os comunistas? Sabemos já q o Eduardo foi a convite do Ahmad Sultan Al Haddad.",Haddad
['1597426202205392896'],1597426202205392896,"@maudemao @ThiagoTechy @CentralEleicoes Certo, Maurício. Haddad fará um excelente trabalho. Não duvido da capacidade dele, muito pelo contrário.",Haddad
['1597426155417919488'],1597426155417919488,Lula inclui Haddad em reunião política https://t.co/ZbQPbq1Spl,Haddad
['1597425705717215233'],1597425705717215233,"@randolfeap Kkkkkkkkk.   Precisa saber mentir muito e acreditar no que fala , idiota vá ver a cartilha do esquerdopata Haddad",Haddad
['1597425211414310913'],1597425211414310913,@LulaOficial @geraldoalckmin Coloque o Haddad na casa civil e desista de colocá-lo ná pasta da economia.,Haddad
['1597425121513201664'],1597425121513201664,"O ex-prefeito de São Paulo é cotado para assumir a liderança do Ministério da Fazenda — que será recriado no governo Lula, substituindo o atual Ministério da Economia.
https://t.co/AbT3SPhhJQ",Haddad
['1597425119688736768'],1597425119688736768,"Daqui 4 anos ou quando o @LulaOficial morrer, quero ver a galera da esquerda chorando na rede social que não tem um nome forte por parte da esquerda/centro esquerda...

Haddad: 59 
Lula: 77
Dilma: 74
Marina: 64

Os 4 nomes ex/futuro presidenciaveis da esquerda tudo na casa dos 60",Haddad
['1597424828172349441'],1597424828172349441,@Haddad_Fernando Teu furico.,Haddad
['1597424825714475009'],1597424825714475009,"@sergioluiz10law @ciro_nogueira É muito malabarismo pra tentar justificar o injustificável...rsrsrs, esperando o projeto do ""economista""Haddad pra salvar a previdência, fazendo um rombo de 800 bi e que vai sair da ""class média pobre""...🤭",Haddad
['1597424640208818177'],1597424640208818177,@rosana Eu reconheço uma qualidade do Haddad...foi o pior prefeito que sao paulo teve.,Haddad
