edit_history_tweet_ids,id,text,topic
['1597437305597624322'],1597437305597624322,"Kim Kataguiri, o genérico de Jaspion é expluso na Universidade e quase apanha doas alunos ...
https://t.co/fctZV1dMRL",Kim Kataguiri
['1597430954137903106'],1597430954137903106,"Kim Kataguiri é agredido em universidade pelos ""justiceiros sociais"" https://t.co/1F8L8SsVht via @YouTube",Kim Kataguiri
['1597403533657055232'],1597403533657055232,"Comecei um mangá novo, e DO NADA o Kim Kataguiri. https://t.co/BLDCQnckcp",Kim Kataguiri
['1597401405740187649'],1597401405740187649,Pq a esquerda não está falando sobre a censura que fizeram com o Kim Kataguiri em universidade pública? Ou sobre o ódio que eles pegaram e afirmaram em discurso? Será q esse é o “do bem”? 🤔,Kim Kataguiri
['1597398430170894336'],1597398430170894336,"@senadorhumberto Inclusive os que pregaram o ódio e atacaram o Kim Kataguiri e seus colegas na UNIFESP, ou não? Aquele é o ódio do bem? Sfd pra lá",Kim Kataguiri
['1597397788551442433'],1597397788551442433,"@MBLivre @DaniloGentili O projeto do Danilo vai dar o direito aos estudantes de esquerdas infernizarem a vida do Kim Kataguiri, como aconteceu essa semana. Eu optaria pelo projeto do Randolfe, o respeito acima de tudo.",Kim Kataguiri
['1597395380672425984'],1597395380672425984,"@KimSBC @__lSimplel__ @Gabriesep @MBLivre @DaniloGentili Esse é novo
https://t.co/9DYK8sbwoR",Kim Kataguiri
['1597394396416475137'],1597394396416475137,"@pedrofogo7 @MBLivre @DaniloGentili Se um deputado pegar pode protocolar...

Inclusive você também pode fazer um, envie seu projeto no discorde do Kim kataguiri que irão te responder se é viável ou não o seu projeto.",Kim Kataguiri
['1597387203390636032'],1597387203390636032,"@xicograziano Se quem elege o presidente é quem vota nele, e os eleitores de esquerda não viram no Bolsonaro, então quem elegeu o Jair foi pessoas iguais ao Xico Graziano, o Kim Kataguiri, o Neymar, o Malafaia....simples assim!",Kim Kataguiri
['1597384897358073856'],1597384897358073856,"@FascismoFree O mais engraçado foi o PCO chamar o Kim Kataguiri de Nazista aí eu entro no perfil dos caras e tá lá ""Pelo fim do Estado de Israel""",Kim Kataguiri
['1597383726333571072'],1597383726333571072,"Teremos a oportunidade de comprovarmos se nós, eleitores, fomos novamente enganados pelo ""novos"" ""Kim kataguiri"", ""Joices"", ""Frotas"" e ""Dorias"" da vida !!

Veremos quantos dos candidatos que surfaram na ""onda Bolsonaro"" se manterão fiéis aos seus ELEITORES ou se irão... https://t.co/goAoJshBCJ",Kim Kataguiri
['1597382921295646721'],1597382921295646721,"Kim Kataguiri agredido por tentar debater em uma Universidade. Misericórdia, o ódio tomou conta desse país.",Kim Kataguiri
['1597381611724886016'],1597381611724886016,"@arthurmoledoval @JanjaLula @gilbertogil @Floragil2222 Oi, Janja. Vi que se solidarizou com Gil que foi covardemente xingado. Tens minha solidariedade tb. 

O que a senhora acha do episódio de ódio (com agressão de fato) dentro de uma universidade pública contra Kim Kataguiri, um deputado eleito democraticamente",Kim Kataguiri
['1597380306251632640'],1597380306251632640,@Gato_Lendario @Felipe_BritoC @MBLivre @DaniloGentili https://t.co/hc4e1zhhVb quanto ao nazi há controvérsias.,Kim Kataguiri
['1597376195100037121'],1597376195100037121,@__lSimplel__ @Gabriesep @MBLivre @DaniloGentili Será? https://t.co/hc4e1zzr9j,Kim Kataguiri
['1597376120780771329'],1597376120780771329,@Felipemouraff @HandoesBIL @MBLivre @DaniloGentili https://t.co/hc4e1zhhVb Será?,Kim Kataguiri
['1597376060869742592'],1597376060869742592,@Gabriesep @MBLivre @DaniloGentili https://t.co/hc4e1zzr9j não necessariamente! Chamar simplesmente de “nazi” pode ser só um xingamento. Tem precedente. Retardad@ é a vaca que vc chama de m@e e q te cagou pelo koo.,Kim Kataguiri
['1597375481070120960'],1597375481070120960,"@Pavinatto Eu sou conservadora, não sou Bolsonarista. No momento é quem me representa. Já fui MBL, votei no Kim Kataguiri e no Fernando Holliday. Saí quando vi que não me representava mais. Tenho meus princípios. Fui chamada de coxinha, pois era o menos pior. Vou seguir meus princípios.",Kim Kataguiri
['1597370282121265153'],1597370282121265153,"@marcia65125897 @figueiral2010 De tão louca, chega a ser sensata... 
Vide Kim kataguiri bia kissis Janaina pascoal Joice hasselman eram contra o sistema chegaram de mansinho e hj estão ae assaltando os cofres públicos, todos querem uma boquinha",Kim Kataguiri
['1597368200777170944'],1597368200777170944,A estupidez bolsonarista contra Ciro Gomes e Gilberto Gil e a estupidez lulopetista contra Kim Kataguiri e Neymar Jr. são sintomas nefastos e perturbadores da selvageria tribal e niilista causada pelo duelo entre dois populistas patrimonialistas e totalitários. #SanatorioGeral,Kim Kataguiri
