edit_history_tweet_ids,id,text,topic
['1597438197336014848'],1597438197336014848,@TKamogari @claudioedantas De forma alguma. Repare no que escrevi. Patriotas são patriotas. Apenas isso. Muito mais rejeitam Lula por seu histórico e intenções declaradas do que apoiam Bolsonaro. Mas existem Patriotas Bolsonaristas. E até Lulistas tb. São grupos que se interpõe.,Lula
['1597438185247997952'],1597438185247997952,"@randolfeap 🚨É lamentável o Brasil estava indo tão bem,países do mundo inteiro admirados como em pandemia crescemos, a oportunidade em décadas de ser um país de primeiro mundo
Nas mãos do presidiário Lula,não seremos só roubados vamos retroceder,triste realidade parabéns aos envolvidos https://t.co/icoW9xl6F2",Lula
['1597438169880100864'],1597438169880100864,"Lula quer diplomação dia 12, uma semana antes do prazo final do TSE https://t.co/hyeP3mRHl1…

@LulaOficial tem medo que o Ministro @Alexandre de Moraes indique ao @TSEjusbr o escândalo MAPA do BRASIL e de BO nas contas de Lula e do PT.",Lula
['1597438165513826304'],1597438165513826304,"@Damadeferroofic Trocando de assunto só eu que estou meio assim de zuar o lula toda hora e as vezes ele ja desceu ? Kkkkk quase 30 dias 3 fotos, estou quase fazendo campanha de prova de vida! Chuchu tava muito sorridente hoje !",Lula
['1597438140662583297'],1597438140662583297,"@diegoschueng O povo falando q foi por causa de torcida da fazenda kkkk deu pra vê q ela q chamou briga pra ela e por causa do lula, pq elas são PT",Lula
['1597438127374991361'],1597438127374991361,"@MauMeirelles Lula tbm sonegou 16M e ainda deve 1,36M por sonegação, fraude e conluio",Lula
['1597438120596836352'],1597438120596836352,Lula encontra representantes do Wikileaks em defesa de Assange e pelo direto à informação https://t.co/HvuF2O4eyO,Lula
['1597438117359017984'],1597438117359017984,@conexaopolitica O lula ta vivo?,Lula
['1597438111763419136'],1597438111763419136,"@LUIZPATRIOTA39 Ate então eu também votava em lula , mas depois que eu descobri que ele foi passear com a turma de STF ,perdeu mais ainda a credibilidade comigo, descobri que ele era ladrão, que enganou o povo do nordeste,com promessas falsas , oferecendo até picanha...
De ovo.
Alkimin falou .",Lula
['1597438105900183552'],1597438105900183552,@geraldoalckmin @LulaOficial Não e o lula nem aqui nem na China ...,Lula
['1597438077668327424'],1597438077668327424,"O povo falando q foi por causa de torcida da fazenda kkkk deu pra vê q ela q chamou briga pra ela e por causa do lula, pq elas são PT https://t.co/NrzQAHcCu6",Lula
['1597438071565611008'],1597438071565611008,"@andreporci Verdade. Por isso Lula ganhou e o povo de verdade desse país tem esperança de novo. E vamos comer picanha, por que não?",Lula
['1597438068960956416'],1597438068960956416,@biehteixeira Legal é ver Renan Calheiros na equipe do Lula 😂😂,Lula
['1597438031447089152'],1597438031447089152,"quando você é esquerdista, toma uns gole e fala “lula livre”, mas não só ele tá livre como tá eleito",Lula
['1597437993996152832'],1597437993996152832,Conheça os baianos indicados para a equipe de transição do novo governo Lula https://t.co/Kdb4mIrZHv,Lula
['1597437967030956032'],1597437967030956032,"@IvanValente Fala do Lula que quer alimentar 13 novos ministérios cada uma com ministros ganhando 17 mil por mês sem falar de outros funcionários e o gasto para manter os ministérios, e vem falar que não vai conseguir manter os 600 de auxílio para população.",Lula
['1597437961074720768'],1597437961074720768,@apropriajulia Se o Lula  tá morto oque tá aí não e o Lula como ele supostamente   vai ser sequer diplomado o Lula já erra   desincarnou,Lula
['1597437946176892929'],1597437946176892929,"@vndrln11 kkkkkkkkkk os cara não sabem nem articular uma conversa para parecer real kkkkkkkkkkkkkk PT lixo, Lula ladrão",Lula
['1597437927348645888'],1597437927348645888,"@Th3usV1ctor @EduFarah @Rconstantino Voltamos aos bons tempos!
Tancredo vivia as turras com Ulisses, que brigava com Covas, que lutava com Brizola, que esculachava o FHC e Lula divergindo de tudo e todos.
Isso é democracia e política.
Não há um comando central... isso é próprio de governos totalitários.",Lula
['1597437912530194436'],1597437912530194436,@rafacarrilhor Poupe a voz de vocês! Ele ainda não tomou posse! Deixe o FORA LULA para ano que vem! Beijos de luz!,Lula
['1597437900404051968'],1597437900404051968,@MTMmarcelobob A minha desculpa é que eu não sou gado e votei no Lula,Lula
['1597437864400166912'],1597437864400166912,"Lula é o maior líder popular da história do Brasil e o povo já anda de saco cheio de gente chorando de barriga cheia atravancando o país.
O sensato seria não brincar de golpezinho,justamente num momento em q deixaram o povo com fome,né?
Vão querer comer picanha de qq jeito!",Lula
['1597437864027262976'],1597437864027262976,"@KleberRenatoPr Minha legenda é...
Aguentem firme q Lula está voltando pra salvar vcs dessa humilhação",Lula
['1597437860981841920'],1597437860981841920,@chico_pinheiro @gleisi Devolve Lula!!!!,Lula
['1597437859216007174'],1597437859216007174,"https://t.co/CnB8kYp9lt
Lula declarou admirar Hitler e Khomeini
GUSTAVO KRIEGER ; ELVIS CESAR BONASSA E ABNOR GONDIM
https://t.co/0nWQRko2x4",Lula
['1597437847401029632'],1597437847401029632,@ThiagoResiste @LulaOficial @geraldoalckmin Apoio o lula,Lula
['1597437842074275841'],1597437842074275841,"@carmelonetobr Faz falta é Neymar pagar seu impostos e responder seus processos. Qto a Lula, é vdd, qtas famílias tem 107 imóveis como a dele? Lojas de chocolates quase vazias que rendem mansões , laranjais , esposa recebendo cheque de motorista, amigo miliciano morto escondido no sito do adv",Lula
['1597437827037687808'],1597437827037687808,"@desinfluenciei Lula é o sócio com mais ações da Folha. Não temos que dar crédito. Mas precisamos de um jornal sério urgente, e de preferência grátis. Jornalistas de renome e competência poderiam ser voluntários, juntarem-se, e fazer um periódico, nem que fosse uma matéria a cada  três dias.",Lula
['1597437770091225088'],1597437770091225088,"@mysalvationcam @Par4d0xM4dn3s5 @Pexte_Rosso @JiiveshDevaBR @eduardoramalhoc @ErnestoRosiane @GuilhermeGFS_ @choquei Olha se vc realmente não viu nenhum país pior que o Brasil, te convido a ver a situação atual da Argentina, Cuba e Venezuela. Cuba e Venezuela já estão ruins a um tempo mas veja a desgraça após pandemia. Isso é reflexo de como o Brasil estaria se o lula estivesse no poder",Lula
['1597437760868012034'],1597437760868012034,@JornalGGN Olha as contas do Lula,Lula
['1597437755365023744'],1597437755365023744,"@tio_dopave @brom_elisa Não jovem, ali é o lula roubando a bandeira kkk",Lula
['1597437751938650112'],1597437751938650112,@bibaapingo o governo lula ja mostra os efeitos,Lula
['1597437746741907456'],1597437746741907456,@Damadeferroofic APOIO LULA.,Lula
['1597437744091107330'],1597437744091107330,@LyaLopes22 @Valdecirdelecl1 @MARCOPOLOTOTTI Que gestão? Que Lula?,Lula
['1597437681339797504'],1597437681339797504,"@BEI74788596 @gooldoney @matue30 Eu não sou petista, só acho errado um rico apoiar um cara que aumentar imposto pros mais pobres e os ricos a vontade. Não sou petista pq sou da igreja e sei que o Lula apoia mta coisa que minha religião não permite apoiar",Lula
['1597437623941107713'],1597437623941107713,"@wellenpeixoto @brunoomarsss18 @ecomunistaa @uneoficial Aí mds, o Lula prometeu picanha e cerveja do céu, mas 2023 vai ser difícil, e ainda a culpa é governo anterior?????? Wtf

Não era o Lula que ia salvar a nação?",Lula
['1597437617859366912'],1597437617859366912,"@LulaOficial Lula está morto no hospital em sp , esse aí não é Lula kkkkk vamos descobrir a verdade !",Lula
['1597437614021545984'],1597437614021545984,"@Carla608311821 @rafacarrilhor Exatamente mudar a narrativa sem ideologia,apenas puro jogo de palavras para manter os panacas nas. A merda Lula e Bolsonaro.",Lula
['1597437609944358913'],1597437609944358913,"@van00003 @GeneralFazoL @realpfigueiredo Ue mas o Lula não vai criar a guarda nacional e botar as FA pra fazer cri cri? Pra q "" negociar"" cargo?",Lula
['1597437600750440453'],1597437600750440453,"acho incrível que as irmãs bezerras vieram p manchar a imagem de quem vota no lula, tudo o que estamos combatendo há anos, elas vão lá e fazem: preconceito, ameaças, tumulto, polêmicas negativas e dentre tantas outras coisas.",Lula
['1597437600675299328'],1597437600675299328,@QuebrandoOTabu Turminha da bolha ainda não entendeu que não é mais sobre Lula ou Bolsonaro… https://t.co/MjMHm4yLz7,Lula
['1597437571801325568'],1597437571801325568,@CristaFloripa Como assim resistem a vontade popular??? A maioria dos votos da população que elegeu o Lula.,Lula
['1597437524464766976'],1597437524464766976,@i2catuzzo Estraguei o número do Lula! Descurpa 😭,Lula
['1597437510036074496'],1597437510036074496,@reportersalles Governo Lula?..Será?..,Lula
['1597437499328327682'],1597437499328327682,"dois ep de girls in the house no mesmo mês, governo lula fazeno efeito 🥳",Lula
['1597437482458497024'],1597437482458497024,"@babi O Lula nem precisa criar nada para nos prejudicar. O vacilão demonstrou ser um babaca ingênuo. Discurso diferente das atitudes. Perdeu meu voto. Me chamou de otário por estar na frente dos quarteis. Com frio, molhado. Perdeu meu voto. @BolsonaroSP @gen_heleno",Lula
['1597437476515127296'],1597437476515127296,@FuriatiCarlos APOIO O LULA.,Lula
['1597437458656165889'],1597437458656165889,@MateusSantana77 Vão para suas casas viver suas vidas deixa que país pegue fogo nas mãos do lula e PT.,Lula
