edit_history_tweet_ids,id,text,topic
['1597383756590948352'],1597383756590948352,"vitorinha alucinada de bebada na calçada do itaoca falando ""faz o L de leo pericles""",Léo Péricles
['1597298468506472448'],1597298468506472448,"@Arthurner0 2026 Leo Péricles ou Sofia Manzano vão mudar essa piada
Um absurdo o Brasil n ter um capitalismo desenvolvido aqui
Próximos 30 anos temos tudo pra ser a maior potência.
Essa ideologia da direita sempre vai ganhar,na minha visão ela não quer o melhor pro povo e o país",Léo Péricles
['1597266823652655108'],1597266823652655108,"@jaosandRamos As leis são sim uma forma de repressão de uma classe pela outra, sendo na nossa realidade, a repressão do proletariado. O próprio Léo Pericles ja falou em podcasts que a luta as drogas é a legalização do genocídio negro no BR, sendo assim, defendemos sim o fim dessas repressões",Léo Péricles
['1597236281326841858'],1597236281326841858,"@Mestre_do_AOE @HallenD25 A jovem UP (@UP80BR) criada pelo magnífico Léo Péricles também é uma opção àqueles que desejam ingressar na luta comunista. 
Filie-se: https://t.co/E1fnjdQq1D

Caso esteja na UFMG, procure a gloriosa @adessiaque e siga a corrente(za)! https://t.co/MTHqqbOyFQ",Léo Péricles
['1597167302612750337'],1597167302612750337,"@hmtuita9 @juliette Assim como sigo várias pessoas de esquerda, inclusive sigo o Léo Péricles. Mas teu fanatismo para lamber bola de política te cega e nem deve ter visto as várias pessoas de esquerda que sigo. Mas tá tão bugada que tem que igualar as pessoas com vc que lambe bola do ladrão.",Léo Péricles
['1597128949569503232'],1597128949569503232,"a prima de uma amiga neopentecostal segue e curte o Leo Péricles
detalhe: a família é quase toda de igreja",Léo Péricles
['1597070145167708161'],1597070145167708161,"@jonasdaup eu: idolatrar politico é coisa de idiota!!

also eu: OMG LEO PERICLES 🥰🥰🥰😍😍😍😍😊😊😊😁😁😆😆",Léo Péricles
['1597069212538716160'],1597069212538716160,"mundinho leo pericles testando efeito no insta:
1 membro https://t.co/ETylihpdNm",Léo Péricles
['1597050587245588480'],1597050587245588480,"@jonesmanoel_PCB Ótimo vídeo, eu mesmo acompanhei todo período entre as eleições e achava o Ciro o mais preparado por um tempo, duas falas pra tentar roubar voto de bolsonarista e cada vez se distanciando mais da esquerda me tirou qualquer chance de voto, fui de Léo Péricles no primeiro turno",Léo Péricles
['1597040137149775872'],1597040137149775872,@mecsczek QQ deu? tão criticando meu casa Léo Péricles?,Léo Péricles
['1597031568971026433'],1597031568971026433,"Top 5 das pessoas que todo vascaíno odeia:

1 Cássio
2 Diego Souza 
3 Péricles Bassols
4 Léo Gil
5 Paulão https://t.co/QQXHx7ae06",Léo Péricles
['1597025612757053440'],1597025612757053440,"quem pensa em colocar algum dia o Léo Pericles do UP na presidência é doente, DOENTE.",Léo Péricles
