edit_history_tweet_ids,id,text,topic
['1597417515894079488'],1597417515894079488,"#TerroristasDasEstradas
#BolsonaristasGolpistas
#HospícioDoBozo
#BrasilNasRuas
#SOSForçasArmadas
#PerdeuMané #NãoAmola
Esse é o jizuis do padre Kelmon https://t.co/Gxqb8I1E2q",Padre Kelmon
['1597417017468157952'],1597417017468157952,@josianezwirtes @AugustoNPistola Não vai não! - padre Kelmon😒,Padre Kelmon
['1597416541162999810'],1597416541162999810,Ei Padre Kelmon e BrochoNaro....vão comer merda,Padre Kelmon
['1597414602685714432'],1597414602685714432,@PATRlOTAS Tá parecendo o padre Kelmon…,Padre Kelmon
['1597401676272775169'],1597401676272775169,"@StavrakasMarcos @desmentindobozo Se lhe serve de consolo a gente não é uma ditadura (que você tanto gosta) então em 4 anos vai poder votar no Danilo Gentili, Bolsonaro e até no padre Kelmon se quiser. Deu pra passar 4 anos orgulhoso de um desgoverno então creio eu que da pra passar mais 4 tranquilo, tranquilo",Padre Kelmon
['1597401134297403392'],1597401134297403392,@abafaissoaqui tô quase o padre kelmon,Padre Kelmon
['1597397639473303552'],1597397639473303552,"@HenriqueLeijoto @EDISPE @CezarRJ_1982 @OliverStuenkel Se não fosse debate Cabo Daciolo não faria a votação que fez em 18, Padre Kelmon nessa eleição, e só ver o desempenho do Eymael sem ir em debates, acho que esse teste já foi feito, por isso essa busca pelo coeficiente mínimo.",Padre Kelmon
['1597396800419135488'],1597396800419135488,"@UOLNoticias É porque vocês não entenderam que não é pelo Bolsonaro.  Estamos lutando contra eleições fraudulentas, que querem colocar um ex-presidiario de volta à cena do crime.  Se o Bolsonaro tivesse perdido para o Ciro, Tebet ou até para o Padre Kelmon, nada disso estaria acontecendo.",Padre Kelmon
['1597394995216277504'],1597394995216277504,"@pingucopinga Falso e o Kelmon?Ne?Triste pois conheci o Padre Fabio antes dele ""dislumbrar"",quando ele tava na Cancao Nova,ele virou Global,eu acho que ele precisa se reencontrar.",Padre Kelmon
['1597381807791812609'],1597381807791812609,@LuanaBarros1710 @Fernand50994986 Só se for pro padre Kelmon.,Padre Kelmon
['1597377905713373184'],1597377905713373184,@marc7botafogo FALTOU O PADRE KELMON PRA HERESIA SER COMPLETA,Padre Kelmon
['1597374864910094336'],1597374864910094336,"@0iSakura Parecia q tava possuída tadinha, chama o Padre Kelmon",Padre Kelmon
['1597363278824361986'],1597363278824361986,"@LUIZPATRIOTA39 Vc cometeu um erro grave, pois quem esta nas rua não são bolsonaristas e sim patriotas, se vc apoia o homem tanto faz Lula, Bolsonaro, ou padre kelmon e etc. Vc tem que apoiar o certo nos somos anti PT, Lula, corrupção, comunismo e anti tudo que se opõe contra a vontade de Deus",Padre Kelmon
['1597357244319862784'],1597357244319862784,Depois o Padre Kelmon que é pejorativamente chamado de padre de festa junina! https://t.co/g2tIchh82M,Padre Kelmon
['1597352635656712193'],1597352635656712193,@angelo_diogenes Lógico que não né. Ele voltou no Padre Kelmon,Padre Kelmon
['1597348363871354880'],1597348363871354880,"Esse é o padre falso, não o Padre Kelmon. https://t.co/KzdD6jxBcd",Padre Kelmon
['1597346589701378048'],1597346589701378048,@DanielAtivista Como dizia o Padre Kelmon durante o  debate:  “ Não vai não. Não vai não”🤣,Padre Kelmon
['1597343165597782017'],1597343165597782017,"@mfriasoficial Mario procure o Padre Kelmon, você está precisando.",Padre Kelmon
['1597335093529706498'],1597335093529706498,"@ciro_nogueira Pior do que o bolsolixo e vocês fizeram,qualquer um que entrar fará melhor .
Até o padre Kelmon.
Perdeu mané .
Não amola",Padre Kelmon
['1597327493505372160'],1597327493505372160,Esse ae é tão padre quanto o kelmon https://t.co/94RVaUvLg0,Padre Kelmon
['1597314092582457344'],1597314092582457344,@LiaDeSousa1 Eu aposto minhas fichas no número 4... Padre Kelmon...,Padre Kelmon
['1597312830503428098'],1597312830503428098,chocada q o Padre Kelmon tava em Castro kkkkkkkkk,Padre Kelmon
['1597310689286426625'],1597310689286426625,"@alertatotal @JovemPanNews Como disse aquele padre, Kelmon, Kelvin, kelson...
""Não vai não"".",Padre Kelmon
['1597298343537147904'],1597298343537147904,gabriel jesus e padre kelmon tem o mesmo número de gols em copa do mundo,Padre Kelmon
['1597297625359056896'],1597297625359056896,@leonardo1opes Em pensar que esse negócio é levado a sério. Tô achando que o Casemiro votou no Padre Kelmon.,Padre Kelmon
['1597292991130894338'],1597292991130894338,"toda vez essa chatice de ficar militando em cima de jogador de futebol por posicionamento político , irmão fodase eles podem ter votado no padre kelmon trazendo o hexa pra mim tá ótimo",Padre Kelmon
