edit_history_tweet_ids,id,text,topic
['1597438181020164096'],1597438181020164096,"@LeindeckerTarot Encheu a cara, ficou incomodando os outros com política, provavelmente tropeçou e caiu e tá dizendo que apanhou...🤷🤷🤷",Política
['1597438145561493504'],1597438145561493504,"@catafoiawins @realpfigueiredo @gilsonmachadont @jairbolsonaro https://t.co/WZ4uKjLI38   
 
A parte do Mercadante vindo de família militar, filho de general e irmão de coronel é  bem interessante e tendencioso não? E esses ex íntegrantes do governo Bolsonaro e suas afinidades com a equipe de transição? Balela tb?",Política
['1597438075332087810'],1597438075332087810,"@Jambock_1945 @BolsonaroSP @guilherme_amado Eu acho eles muito coerentes. Filho de peixe , peixinho é. 30 anos sem fazer porra nenhuma na política. Vai fazer agora pq ? Quem tá no relento e na chuva são vcs .  Eles são muito inteligentes, burros são vcs.",Política
['1597438066083655680'],1597438066083655680,Confira o vídeo de Politica de Verdade! #TikTok https://t.co/qpm0yZae3E,Política
['1597437929218973697'],1597437929218973697,"TSE encontra e bloqueia R$ 13,6 milhões em conta do PL para quitar multa de R$ 22,9 milhões | Política | G1 https://t.co/gRHkQ5RaxB",Política
['1597437927348645888'],1597437927348645888,"@Th3usV1ctor @EduFarah @Rconstantino Voltamos aos bons tempos!
Tancredo vivia as turras com Ulisses, que brigava com Covas, que lutava com Brizola, que esculachava o FHC e Lula divergindo de tudo e todos.
Isso é democracia e política.
Não há um comando central... isso é próprio de governos totalitários.",Política
['1597437890795294720'],1597437890795294720,"@DaniloGentili Agradeça agora com o novo governo os mortos podem voltar a ser feliz e comer picanha.
https://t.co/NaCnxe9EGc",Política
['1597437889335689216'],1597437889335689216,"@LeindeckerTarot Agressão por causa de política. 
Uns bolsonaristas agrediram. 

Só sabemos que está em observação no hospital espero que esteja bem",Política
['1597437797828538369'],1597437797828538369,"@anifolls Nada justifica uma agressão, mas a mulher toma todas e depois quer debater política? Gente não se discute com bebeado, juntou com outros deu nisso.",Política
['1597437737325383680'],1597437737325383680,"Boicotar a Rússia da Copa do Mundo, e da política mundial por eles lutarem contra os Nazistas Ucranianos pode. Mas, boicotar o Irã, por eles ferirem os direitos humanos  não pode. Europa, Estados Unidos e OTAN são sinônimos de Hipocrisia e Ignorância",Política
['1597437716756856834'],1597437716756856834,"@Dra_Deolane A cachaça antes de matar humilha neh, a pessoa toda desequilibrada em bar, arrumando briga por política,  passa a noite ai tomando uma glicose, amanhã esta zero",Política
['1597437612612280320'],1597437612612280320,"@centralreality Coloque a notícia certa, foi por causa de política. A mesma estava provocando, com sinais de estar embriagada. TRANSPARÊNCIA!!!! Por favor.",Política
['1597437602424311808'],1597437602424311808,"@SAOLUISCOMOMITO @KarllaGabys @Laurao1008 @CrimesReais Isso não tem a ver com política ou ideologia amigo, tem a ver com proteger as crianças que sofram abusos, que normalmente acontecem dentro de casa, para que o que aconteceu com a criança desse crime não aconteça com outras
Crianças são inocentes, não sabem o que é certo e errado",Política
['1597437598183882752'],1597437598183882752,"@ofamososic @EveraldoPiment7 @felipeneto Sou cristã graças a Deus, e não sou boba, cristão não é burro e nem tapado, vão lê a bíblia que lá vcs vão aprender sobre política mais do que ficam aprendendo na internet... Vão achando que cristão é bobo",Política
['1597437594992017409'],1597437594992017409,@erlan_bastos @emoff @iG Esqueceu De Falar Que Foi Sobre Política!,Política
['1597437571759755264'],1597437571759755264,"Governo Bolsonaro bloqueia R$ 5,7 bi e amplia risco de 'apagão em serviços'
Caso a nova trava precise ser implementada pela equipe econômica, o bloqueio total chegará a R$ 15,4 bilhões, deixando poucos recursos para a máquina pública

https://t.co/OPwbOhAJqJ",Política
['1597437534614990849'],1597437534614990849,"@MauroPerval PASSEI a acreditar que as FFAA só sairão dos quartéis se for preciso proteger o povo de uma repressão violenta. 
Para reverter eleição fraudulenta, em tese, é questão política e jurídica. É a leitura que estou fazendo agora.
@DefesaGovBr @BragaNetto_gen
https://t.co/mOf46V5Dmn",Política
['1597437478776213504'],1597437478776213504,@PaolaDeboche Ela q provocou um grupo a estava bebendo. E foi por causa de politica. Na a ver vom reality,Política
['1597437436183072768'],1597437436183072768,"@andrizek Rizek, você tem razão: o jogador Neymar faz falta. Um craque sim! O ser político não nos importa no contexto chamado futebol. Aliás, nem ele sabe o que é política...",Política
['1597437383779450880'],1597437383779450880,"@EldaRocha11 Bêbada, resolveu discutir política em bar e  se deu mal",Política
['1597437358802358272'],1597437358802358272,"@Augustus_Dozimo @Steh_Papaiano Certeza que é pelo fato da cabecinha de jegue dele ainda raciocinar como capitão, como subalterno. Em perspectiva é que compreendi sua obsessão em encharcar seu governo como general. Até na porra da articulação política com o legislativo tava um corno de verde oliva.",Política
['1597437342968868864'],1597437342968868864,"juyo que não aguento mais só mulher pelada na minha tl
excluí minha conta antiga pq n conseguia me livrar de política agr vou excluir essa pra me livrar da putaria",Política
['1597437231098400768'],1597437231098400768,@geraldoalckmin @LulaOficial Richarlison e Vini Jr da Política,Política
['1597437224642957312'],1597437224642957312,"“Imoralidade”, diz Gleisi sobre compra de blindados por R$ 5 bilhões.
https://t.co/F2pxdSQdLt. Falta de vergonha e respeito ao povo brasileiro. 💰💰💰

via @GoogleNews",Política
['1597437147329744896'],1597437147329744896,"@tuitagabii_ @centralreality Não foi por causa do Reality, ela estava bêbada discutindo política. E estão usand isso para se fazer de vítima.",Política
['1597437125871382528'],1597437125871382528,"@Dra_Deolane Mas é marketing minha querida, o perfil da Deolane está praticamente fechado pra coisas de reality, coisas da #AFazenda14, o que tem a ver falar de agressão que a irmã sofreu por causa de política? Tão querendo dar a entender que foi coisa de reality, oportunistas! Melhoras p ela",Política
['1597437106238132225'],1597437106238132225,"Mas é marketing minha querida, o perfil da Deolane está praticamente fechado pra coisas de reality, coisas da #AFazenda14, o que tem a ver falar de agressão que a irmã sofreu por causa de política? Tão querendo dar a entender que foi coisa de reality, oportunistas! Melhoras p ela https://t.co/SQ7NIaaYb4",Política
['1597437055789051904'],1597437055789051904,"O comunismo de guerra ou de consumo foi desastroso como política no período de Lenin. A Rússia superou-o quando Lenin implementou a perspectiva da NEP defendida pelos social-democratas originalmente, uma política de economia mista que conciliava mercado e planificação. (+)",Política
['1597436912276340736'],1597436912276340736,"Conheço. Inclusive uma das minhas amigas mais próximas. Pessoas maravilhosas e inclusive essa minha amiga, que possui um coração puro e lindo demais 

mesmo não entendendo a razão, respeito e a gente evita discutir política. https://t.co/3iHhuk9bFj",Política
['1597436842844262401'],1597436842844262401,@Dra_Deolane Foi tirar onda com a cara dos outros por causa de política kkkkkkkkkkkkkkkkkkk🤦🏽‍♂️,Política
['1597436805728858113'],1597436805728858113,"Vamos trocar umas ideias sobre o cenário política e outras bobagens aleatórias... cola pessoal!🙃
https://t.co/0sZE2nIh1x",Política
['1597436765438377985'],1597436765438377985,"@alarisbt @dudelbem Ciência sem Fronteiras. De preferência, na minha opinião, (1) sem tirar dinheiro da pesquisa para financiar o programa, (2) com política pública de acompanhamento e avaliação e (3) focado em doutorandos e pós-docs. Chances de isso acontecer no curto prazo? Próximas de 0, acho 😐",Política
['1597436736279220225'],1597436736279220225,"@leleoficial15 @Dra_Deolane A mulher TREBADA ,briga por POLÍTICA, manda todo mundo tomar no UC , vai para o hospital tomar GLICOSE e vocês fazem SENSACIONALISMO e MARKETING para engajar a irmã que está no programa? Que baixo isso...",Política
['1597436671297220608'],1597436671297220608,"@randolfeap Senador Randolfe!Por favor conserve suas opiniões!Agora é todo mundo dizendo amém para ter uma tetinha""para engordar as economiasTriste essa política novamente do toma-lá-dá-cá.Queremos RENOVAÇÃO E NÃO O RETORNODE UMA ERA SUSTENTADAPOR ALTOS INVESTIMENTOS TERCEIRIZANDO VINGANÇAS",Política
['1597436661389926401'],1597436661389926401,China: cresce indignação contra política de tolerância zero contra covid... https://t.co/MiH3rnsKLJ via @YouTube,Política
['1597436620751659008'],1597436620751659008,"@PedroRonchi2 Igual o bolsa família faz falta aos mortos.
https://t.co/NaCnxe9EGc",Política
['1597436591605415937'],1597436591605415937,"@Dra_Deolane Quem Manda Não Saber Beber E Intimar As Pessoas???
Fora Que Não Tem  Nada A Ver Com A Fazenda, Foi Por Causa De #Política 😉😘",Política
['1597436517626294274'],1597436517626294274,"@claremibueloni PASSEI a acreditar que as FFAA só sairão dos quartéis se for preciso proteger o povo de uma repressão violenta. 
Para reverter eleição fraudulenta, em tese, é questão política e jurídica. É a leitura que estou fazendo agora.
@DefesaGovBr @BragaNetto_gen
https://t.co/mOf46V5Dmn",Política
['1597436499670097920'],1597436499670097920,"@CaetanoDias10 @OsmanFelipeMon1 @RodrigoHilbert Disse o seguidor de Janones… que disse que Lula nunca foi corrupto, que Guedes foi pior ministro… que Bolsonaro é genocida…. Kkkk …. O cara é a mais pura representação do serzinho manipulado, que foi moldado pra ajudar a escoria politica a voltar pro poder. Burro! https://t.co/itlmZTNjYZ",Política
['1597436440954417153'],1597436440954417153,"@Galahad_druid @kr_nady @PedroRonchi2 Já estudei em federal de exatas e hoje de humanas, em ambas não aborda-se política em aula, temos uma carga densa, por tanto fora de sala sempre rola reflexões, e taí, cientista que é cientista reflete, o que a galera chama de doutrinação é pura dedicação e reflexão, só isso",Política
['1597436423183142913'],1597436423183142913,@Jpzada027 tão misturando jogo com política agr tbm,Política
['1597436417264988160'],1597436417264988160,"@Dra_Deolane Oq ela quer bêbada provocando as pessoas ainda amais sobre política,  procurou achou",Política
['1597436401569894400'],1597436401569894400,"@civirginio @VilmaVsf @michellefcs2 Passa o número do processo que o BOLSONARO foi CONDENADO por corrupção , por favor: e eu te passo os do LULADRAO,  seu protegido, que são muitos ,Aproveita e  LEIA SOBRE O “FORO DE SÃO PAULO”, estuda um pouco sobre política pra vir dar sua opinião tosca.",Política
['1597436330883047426'],1597436330883047426,"""Sophia vc devia virar política"" 🥺❤️",Política
['1597436329356238848'],1597436329356238848,"@JoaquinTeixeira Graças a Deus e aos valores recebidos pelos meus pais, sobrevivi à UFPR. Hoje entendo porque me hostilizavam, porque me usaram de UBER por 4 anos e depois da formatura nunca mais me procuraram! Eu era uma menina e mal sabia de politica mas sempre tive personalidade! 🙏🏻",Política
['1597436219205746691'],1597436219205746691,@Dra_Deolane Postam o vídeo todo...que feio...querem fazer as pessoas acreditarem que é por causas  do reality...foi porque estava bebada querendo fazer debate de política,Política
['1597436211505041410'],1597436211505041410,"@JanjaLula @gilbertogil @Floragil2222 Ele deveria ficar no na área da música mesmo e não se meter em política, amigo do fidel junto com lula",Política
['1597436179288576000'],1597436179288576000,"Nossa!! E agora?! Quem poderá impedir que tamanho símbolo de ódio - a porra de um sapo - se espalhe por aí? Ainda bem que o grande Thiago Guimarães nos avisou que um símbolo utilizado pela ED é exclusivamente daquela posição política, melhor avisar todos os milhares que o usam😱! https://t.co/GZcVmWltWa",Política
['1597436178327777280'],1597436178327777280,@AndreJanonesAdv Nós não somos vocês! Capazes de defender bandido em nome de política e agenda de partido. Nossa luta nunca foi pela família Bolsonaro. Nossa luta é muito maior! É contra a imoralidade de vocês!!,Política
['1597436176654553088'],1597436176654553088,"@Dra_Deolane Gente, ela passou mal foi de manguaça... ela estava altamente embriagada tentando caçar briga com um povo no bar... e era sobre política!!",Política
['1597436173592694785'],1597436173592694785,"Ok! Copa começou... Todo mundo tá dando atenção. Momento perfeito para as falcatruas na política. Os cara tão fazendo tanta merda que pqp... Disseram: ""Se meu candidato errar eu vou cobrar"". Não tô vendo ninguém falar nada a respeito 👍 O amor venceu♥️",Política
['1597436168463069184'],1597436168463069184,@Rconstantino Deixe de ser bunda mole! Sabe porra nenhuma de política quiçá futebol... Oportunista covarde,Política
['1597436122300194816'],1597436122300194816,@folha_politica Reunião para justificar a viagem motivada pelo futebol ...,Política
['1597436101526196225'],1597436101526196225,@GugaNoblat Ai so prova a ipocrecia de vcs petista sobre golpe o povo brasileiro não ta nessa por causa de política mais por simples fato de não querer um ladrão na presidência e é só observar o que ta acontecendo no país pec fura teto e os abusos do judiciário,Política
['1597436087819202561'],1597436087819202561,"É isso aí PTralhada!!! Façam o ""L"" em uníssono!!! 🤡🤡🤡🤡🤡
https://t.co/9oJyCwsKr7",Política
['1597436051861442566'],1597436051861442566,@anedayanesanto3 @diegoschueng Pelo celular deu bem pra perceber que era sobre política não vem inventar historinha não tá lá 🤣🤣🤣🤣🤣,Política
['1597436023176560640'],1597436023176560640,@Dra_Deolane Foi falar de política? 😬😬😬,Política
['1597436008089649152'],1597436008089649152,00:42 eu e emilly falando de política 🤡,Política
['1597435980667293697'],1597435980667293697,"@JosHumbertoFe17 É estranho mesmo.
Ganhava entre 100 e 200 mil por show.
Igual a Daniela cobrou em são paulo. 
Mas na cidade do PT:
https://t.co/1XYyc0zlX7",Política
['1597435932080500736'],1597435932080500736,"Tenho nojo e não considero gente todos que torcem contra o próprio país por opinião política (seja na copa, seja na eleição).",Política
['1597435916708376577'],1597435916708376577,"@her_santxs Agora vc me bata uma alobaça…a pessoa que sabe muito de política e gestão cultural achando mesmo, achando muito, que o pagamento de todos os artistas do evento vai sair da bilheteria. Gente tem que ser muito ingênuo mesmo. Um evento internacional sediado em Salvador…",Política
['1597435911364804608'],1597435911364804608,"@gesianediniz Eu quero que Lula, Bolsonaro e toda essa corja politica, seja fuzilada em praça publica. 
Ps: Só mais 72h, não desista Patriotaria.",Política
['1597435908369907713'],1597435908369907713,"@Damadeferroofic Eu desisti de conversar com pessoas que não entendem de política, somente entendem a mídia, parei",Política
['1597435858680156160'],1597435858680156160,"@JRMpatriota Esqueceram Sérgio Reis, Gusttavo Lima, Leonardo e mais um monte de artistas, que não compactuam com essa palhaçada que está acontecendo na política brasileira.",Política
['1597435857631600641'],1597435857631600641,"@centralreality Ah a mulher ofendendo todo mundo, chamando o povo de m**** ,que não valia nada, que era tudo um bando de pobre ,foi meter política no meio chamar para debate aí não quer apanhar. Ela acha que é acima da lei que pode tudo não foi a irmã que disse que agressão não dá em nada.",Política
['1597435806297116672'],1597435806297116672,@NiveaMoreira8 @diegoschueng Debate sobre política kkkkkk essa mulher não deve nem saber oq é esquerda e direita.,Política
