edit_history_tweet_ids,id,text,topic
['1597437682690723842'],1597437682690723842,@CelioAmorim7 @Estadao @AsbritoMaria @colunadoestadao GANHOU PRÊMIO DA ONU como melhor  GESTOR  E considerado o melhor prefeito da America Latina!👇😅😍😍 https://t.co/GzODn3hF1f,Prefeito
['1597437622330064896'],1597437622330064896,"@AntonioCEvan Esse 🤬 era prefeito da mina cidade… pelo PSDB… no auge da pandemia… ele@fazia eventos de campanha ESCONDIDO com integrantes do partido e funcionários da prefeitura….minha família sem poder fazer eventos e ele usando o espaço…
Pandemia apenas pro povo",Prefeito
['1597436927657279488'],1597436927657279488,"@telassimf @aryvanazzi Que show @telassimf .... Parabéns ao Prefeito @aryvanazzi pela atitude, se eu morasse ai com toda certeza compraria livrinhos pro meu pequeno Raphinha.. 👏👏👏",Prefeito
['1597435880574439425'],1597435880574439425,"eu espero q a população acorde na eleição pra prefeito, se vender custa mto caro, agora tá aí o cara mandando geral embora pq já ganhou o q ele queria, perto da eleição as promessas voltam pq ele vai querer se reeleger, aí vão lá levantar bandeira",Prefeito
['1597435178896437248'],1597435178896437248,O acidente ocorreu por volta das 18h42 e ainda não há dados oficiais sobre feridos ou possíveis vítimas fatais. O prefeito de um município paranaense passava pela BR-376 na hora do deslizamento e quase foi atingido. https://t.co/IvYGv0BF6T,Prefeito
['1597434700704149504'],1597434700704149504,@vivaldobuquerq3 Disfrute bem Seu Prefeito,Prefeito
['1597434473011896321'],1597434473011896321,🤦🏾‍♀️🤦🏾‍♀️🤦🏾‍♀️🤦🏾‍♀️🤦🏾‍♀️🤦🏾‍♀️🤦🏾‍♀️Teoria reforçada por vice-prefeito de Angra diz que Lula morreu. Assessoria rechaça: “Bobagem” | Metrópoles https://t.co/f67QqOqrxD,Prefeito
['1597433700547178496'],1597433700547178496,"Claudio Rocha Jornalista Radialista Assessor de Imprensa e Mediador Conciliador Formado Pelo Ministério da Justiça e Segurança Pública 

https://t.co/81Gs33RsIc",Prefeito
['1597433597786742784'],1597433597786742784,"@mauriciorocha70 Pastor,  e sobre o acidente em Guaratuba? As pessoas estão bem? Vi o depoimento do prefeito, mas não achei nada sobre as outras pessoas…",Prefeito
['1597432915859996672'],1597432915859996672,"@ppatrinni @jogatina222 vdd, um prefeito ia ter mesmo um matador de aluguel como segurança",Prefeito
['1597432716429234176'],1597432716429234176,@NarleyResende O prefeito estava lá e foi Im dos primeiros a passar… 🤔,Prefeito
['1597432350970765313'],1597432350970765313,Cabelo dela ficou prefeito,Prefeito
['1597432029456793601'],1597432029456793601,"esses dias mesmo eu tava super elogiando o prefeito pro meu pai, contando das coisas que ele fez em londrina, na pandemia etc 
mas que errooo, os comentários que ele faz no Twitter dele sobre o que aconteceu na Paranaguá da nojooo",Prefeito
['1597431759703986176'],1597431759703986176,@realpfigueiredo É Paulo depois de declarar amores ao prefeito do Rio Eduardo Paes ficou complicado acreditar em vc como antes!,Prefeito
['1597431217208823808'],1597431217208823808,@erickfigueiredo @Vadilson_Vix @tarcisiogdf @jairbolsonaro São inteligentes sim pois não voto no pior prefeito da história de são Paulo mais sim no melhor ministro de infraestrutura da história do Brasil,Prefeito
['1597430601325608960'],1597430601325608960,@Vadilson_Vix @tarcisiogdf @jairbolsonaro O povo voto no melhor ministro de infraestrutura da história contra o pior prefeito de são Paulo da história,Prefeito
['1597430290778976257'],1597430290778976257,"@Patricia_BR2022 @AlexandraKozama @AntonioCEvan Ex prefeito de Santana de Parnaíba, SP. Elvis Cézar, salvo engano.",Prefeito
['1597430145660469249'],1597430145660469249,"Pelo menos por enquanto, prefere continuar calado  https://t.co/8nN4uW3ETP",Prefeito
['1597429781821554688'],1597429781821554688,Deslizamento de terra atinge carros no PR e prefeito escapa por pouco https://t.co/jvVgACsAcF,Prefeito
['1597429141871394816'],1597429141871394816,"Porra hoje vi a nata do soberana no busao, parece que eu sou prefeito kkkkkkkkkk",Prefeito
['1597428268692811781'],1597428268692811781,"Dos mesmos autores do tratamento precoce e do terra plana, vem aí
O LULA MORREU!

https://t.co/3hsLX3mvb3

Feito sob medida para você que canta o hino para o pneu e acredita no que é dito nas lives do Bolsonaro.",Prefeito
['1597428247952003072'],1597428247952003072,Niterói não tem prefeito 😤 https://t.co/QFB4VnT0xZ,Prefeito
['1597427640843264000'],1597427640843264000,"""Uma coisa horrorosa. A montanha veio abaixo, nos carregou para cima dos outros carros e só estamos vivos por um livramento de Deus"", disse no vídeo. Os Bombeiros Militares de SC atualizaram sobre a atuação da corporação.

https://t.co/GJQtnq5tWR",Prefeito
['1597427342120734720'],1597427342120734720,"O Prefeito menino Guti @guti_oficial + @prefeituraguarulhosoficial fez o favor de tirar todas as grades da Praça Santos Dumont. A praça q antes já estava abandonada, agora está melhor, abandonada sem grades e moradores c/ suas habitações dentro da praça. 

Obrigado menino Guti! https://t.co/RHWSojhvWw",Prefeito
['1597427063384059906'],1597427063384059906,"Dr. Furlan sobre Clécio: ""Ele foi prefeito de Macapá por 8 anos, conhece profundamente os problemas da cidade e que a cidade precisa de apoio do Governo do Estado"" - Portal Amapá https://t.co/5eY2u1y023",Prefeito
['1597426683597901824'],1597426683597901824,Digo é nada... https://t.co/0t1aerepfJ,Prefeito
['1597426244567851008'],1597426244567851008,"@LucianoGiusepp4 Pesquisem sobre o Prefeito Eleito de Goiânia-Go, Maguito Vilela, faleceu logo após o vice tomar posse. Boatos de que ele já estava em outro plano, mas omitiram a verdade até a posse.",Prefeito
['1597425776369860608'],1597425776369860608,"@RichardGMRklan pprt mano, prefeito esqueceu de São Francisco, tem nada aqui",Prefeito
['1597425651111571458'],1597425651111571458,"No #RodaViva, Rodrigo Garcia avalia possibilidade de transporte público gratuito em São Paulo.

O prefeito da capital paulista, Ricardo Nunes, estuda o projeto.

#GarciaNoRodaViva https://t.co/CGh4iYyQAx",Prefeito
['1597425650360532992'],1597425650360532992,Prefeito de São Paulo confirma retorno da festa de Réveillon na Avenida Paulista nesta virada de ano | Jovem Pan #nacional #brazil #brasil #gnnoticias https://t.co/2lU5KYbewC,Prefeito
['1597425608853950465'],1597425608853950465,"Gomez Addams

- 19 anos;
- Filho do prefeito Addams;
- Não gostou da ideia de sair da cidade grande e se instalar num vilarejo estranho;
- Tem o hábito de explorar tudo e roubar coisas;",Prefeito
['1597425598535606274'],1597425598535606274,"@lellybellepi Esse é João Rodrigues atual prefeito de Chapecó ex presidário condenado 5 anos por corrupção, também é o famoso deputado do vídeo pornô, envolvido no famoso caso do assassinato do vereador Marcelino Chiarello. Hoje usa o nome de Bolsonaro pra se manter na política. 🤮",Prefeito
['1597425463915606017'],1597425463915606017,@SilCarqueija @FaimaLima @costa_rui Ele é prefeito de Salvador?,Prefeito
['1597425204988628992'],1597425204988628992,@anadiashedu77 @CechetRegis @LucianoGiusepp4 Esse prefeito é ex presidiário igual o nine.,Prefeito
['1597425186265264128'],1597425186265264128,Ituaçu: Prefeito lamenta tragédia e cobra celeridade de obra na entrada da cidade - https://t.co/IjEgwqlR4U,Prefeito
['1597425126941003776'],1597425126941003776,Vídeo: Prefeito de Guaratuba conta o que viu durante o deslizamento de terra na BR-376: ‘Vivos por livramento de Deus’ https://t.co/lrM9JAR01w,Prefeito
