edit_history_tweet_ids,id,text,topic
['1597437676881580032'],1597437676881580032,"Rodrigo Garcia defende aumento do salário do governador: ""Milhares de pessoas dependem deste valor"" https://t.co/dxoXWeQz0L @veramagalhaes @rodrigogarcia_ #Rodaviva #jornalistavitor",Rodrigo Garcia
['1597434567123963905'],1597434567123963905,Rodrigo Garcia comenta sobre o legado do PSDB após 28 anos comandando o estado de São Paulo @rodrigogarcia_ no #Rodaviva https://t.co/i5Fpj7K8Pu,Rodrigo Garcia
['1597434092773339136'],1597434092773339136,Rodrigo Garcia comenta que no executivo sente mais útil a sociedade #Rodaviva https://t.co/8TFZ5mDGAi,Rodrigo Garcia
['1597432961678204928'],1597432961678204928,"Caso tivesse sido reeleito, Rodrigo Garcia bateria na porta do governo Lula #Rodaviva https://t.co/6FDcNk0NpU",Rodrigo Garcia
['1597432499751510016'],1597432499751510016,Rodrigo Garcia é favorável a emendas impositivas #Rodaviva https://t.co/Y9YEEXEX2G,Rodrigo Garcia
['1597431603961409536'],1597431603961409536,"Rodrigo Garcia comenta que fez  desbloqueio das vias em São Paulo, com o auxílio da força policial #Rodaviva https://t.co/vQB7NxYwh6",Rodrigo Garcia
['1597430622707859456'],1597430622707859456,Rodrigo Garcia é favorável a continuidade de câmera em uniformes de policiais #Rodaviva https://t.co/irFoMBqIci,Rodrigo Garcia
['1597430315710308352'],1597430315710308352,Rodrigo Garcia é favorável a penitenciária privada #Rodaviva https://t.co/iA9KFI5lrS,Rodrigo Garcia
['1597429951711481857'],1597429951711481857,Rodrigo Garcia comenta sobre o combate ao racismo no seu governo #Rodaviva https://t.co/CTgYojI6dt,Rodrigo Garcia
['1597429490711683073'],1597429490711683073,Rodrigo Garcia comenta sobre novas vacinas do Butantã #Rodaviva https://t.co/Vz93exo1r0,Rodrigo Garcia
['1597429179552710656'],1597429179552710656,"Encerrando sua participação no #RodaViva, Rodrigo Garcia comenta o legado do PSDB em São Paulo após 28 anos no comando do estado.

""Nós temos uma boa história para contar e é importante que ela seja repetida para que não retroceda.""

#GarciaNoRodaViva https://t.co/jIbt1CKLIj",Rodrigo Garcia
['1597429174020763648'],1597429174020763648,Rodrigo Garcia comenta sobre a nomeação de Gilberto Kassab como secretário #Rodaviva https://t.co/lfOZc3W9OE,Rodrigo Garcia
['1597428405229998080'],1597428405229998080,Rodrigo Garcia comenta que as universidades do estado nunca tiveram tanto recurso disponível  #Rodaviva https://t.co/p29KaWeIEv,Rodrigo Garcia
['1597428140439060485'],1597428140439060485,"""No Executivo eu me realizo e me sinto mais útil à sociedade"", diz Rodrigo Garcia.

#RodaViva #GarciaNoRodaViva https://t.co/tcjBfhlqyT",Rodrigo Garcia
['1597428062991560705'],1597428062991560705,Rodrigo Garcia comenta que não tem motivos para sair do PSDB #Rodaviva https://t.co/Im9TpcoSlr,Rodrigo Garcia
['1597427553320415233'],1597427553320415233,Rodrigo Garcia avalia a possibilidade de transporte gratuito em São Paulo #Rodaviva https://t.co/ORcWmtRlsK,Rodrigo Garcia
['1597427389487017984'],1597427389487017984,"No #RodaViva, Rodrigo Garcia revela como está sendo realizada a transição para o governo de Tarcísio de Freitas.

Garcia garante que obras em andamento serão terminadas na próxima gestão.

#GarciaNoRodaViva https://t.co/V8byNdY8pH",Rodrigo Garcia
['1597427298017636353'],1597427298017636353,Rodrigo Garcia comenta que a tarifa do transporte público deveria  estar em 7 reais #Rodaviva https://t.co/LBENFDYaDZ,Rodrigo Garcia
['1597426511467847680'],1597426511467847680,"""Se fossem repassados todos os aumentos, a tarifa do transporte público estaria sete reais"", explica Rodrigo Garcia.

#RodaViva #GarciaNoRodaViva https://t.co/OIDu8aQdvy",Rodrigo Garcia
['1597425651111571458'],1597425651111571458,"No #RodaViva, Rodrigo Garcia avalia possibilidade de transporte público gratuito em São Paulo.

O prefeito da capital paulista, Ricardo Nunes, estuda o projeto.

#GarciaNoRodaViva https://t.co/CGh4iYyQAx",Rodrigo Garcia
['1597423869752901632'],1597423869752901632,"""A junção da Infraestrutura com o Meio Ambiente em 2019 foi um acerto"", afirma Rodrigo Garcia no #RodaViva.

#GarciaNoRodaViva https://t.co/HSqV6zpP4g",Rodrigo Garcia
['1597423308395274240'],1597423308395274240,"""Eu não tenho motivo nenhum para sair do PSDB"", declara Rodrigo Garcia.

No #RodaViva, o governador diz que o partido precisa pensar em alternativas para o futuro.

#GarciaNoRodaViva https://t.co/IoPnbE9PB9",Rodrigo Garcia
['1597422584072544256'],1597422584072544256,"""As universidades do estado: USP, Unesp, Unicamp nunca tiveram tanto recurso disponível"", afirma Rodrigo Garcia.

#RodaViva #GarciaNoRodaViva https://t.co/07XozmSUYM",Rodrigo Garcia
['1597422219831181312'],1597422219831181312,O Rodrigo Garcia virou assessor oficial do Tarcísio de Freitas mesmo. Isso é realmente um 'apoio incondicional',Rodrigo Garcia
['1597421894839730177'],1597421894839730177,"Qual o papel do PSDB nos governos Lula e Tarcísio?

Rodrigo Garcia responde no #RodaViva!

#GarciaNoRodaViva https://t.co/TZmrEsAX78",Rodrigo Garcia
['1597420857164705793'],1597420857164705793,"Essa entrevista de hoje no Roda Viva é daquelas que a gente chamava no meu tempo de reporti de ""matéria 500"". Tão entrevistando o patrão (ops o governador de SP Rodrigo Garcia) de forma muuuuuuito carinhosa. Nenhuma pergunta que não seja querida. Que vergonha.",Rodrigo Garcia
['1597420504746319877'],1597420504746319877,"Triste ver que a TV Cultura virou um palanque para a direita.
As bolas levantadas para Rodrigo Garcia são simplesmente patéticas.",Rodrigo Garcia
['1597419338134212608'],1597419338134212608,"""O Tarcísio tem liberdade total para montar seu governo"", diz Rodrigo Garcia.

O governador de São Paulo comenta a escolha por Kassab como secretário de estado, no #RodaViva.

#GarciaNoRodaViva https://t.co/Uht3mHuea2",Rodrigo Garcia
['1597418883253616640'],1597418883253616640,"Rodrigo Garcia defende aumento do salário do governador: ""Milhares de pessoas dependem deste valor"" https://t.co/GKEBz0OkyN",Rodrigo Garcia
['1597418279001550850'],1597418279001550850,#RodaViva Rodrigo Garcia ta tão favorável ao Tarcísio!!!,Rodrigo Garcia
['1597418133991874563'],1597418133991874563,"No #RodaViva, Rodrigo Garcia analisa atuais números da Covid-19 no estado de São Paulo com a chegada das novas variantes.

O governador paulista também explica a produção de novas vacinas pelo Instituto Butantan.

#GarciaNoRodaViva https://t.co/mpGkvKH6Dq",Rodrigo Garcia
['1597417417264680961'],1597417417264680961,"No #RodaViva, Rodrigo Garcia diz qual o legado de seu governo no combate ao racismo.

Confira!

#GarciaNoRodaViva https://t.co/GZM0RVd12h",Rodrigo Garcia
