edit_history_tweet_ids,id,text,topic
['1597438062447169536'],1597438062447169536,"@Sen_Cristovam Pois é, Senador,político sensato que é, com certeza o Sr. fez chegar o seu comentário à jornalista petiste  Bárbare Gancie que usou dessa mesma agressividade, num tom mais forte, ao ter chamado uma menina de 11 anos de idade de pu..., filha do Presidente Bolsonaro. 
Segue a linha",Senador
['1597437985737539584'],1597437985737539584,"amanhã tem senegal x equador, o clássico senador",Senador
['1597437563056558081'],1597437563056558081,@PlinioValerio45 Parabéns senador 👏👏,Senador
['1597437396726923265'],1597437396726923265,"@MBLivre @DaniloGentili Inclusive, xingar de senador oportunista saltitante sem q ele possa pedir suspensão da minha conta. https://t.co/dQw8CGRXVs",Senador
['1597436969705181184'],1597436969705181184,@senadorhumberto Senador vagabundo que não sabe se não seu Humberto,Senador
['1597436784614727680'],1597436784614727680,"@o_antagonista A pilantragem é inquestionável realmente senador incompetente, só vê seus próprios interesses, impeachment não sai da gaveta. Alcolumbre, Maia, Pacheco, q senado lixo.",Senador
['1597436671297220608'],1597436671297220608,"@randolfeap Senador Randolfe!Por favor conserve suas opiniões!Agora é todo mundo dizendo amém para ter uma tetinha""para engordar as economiasTriste essa política novamente do toma-lá-dá-cá.Queremos RENOVAÇÃO E NÃO O RETORNODE UMA ERA SUSTENTADAPOR ALTOS INVESTIMENTOS TERCEIRIZANDO VINGANÇAS",Senador
['1597436107838234625'],1597436107838234625,"@flferronato Vc é inteligente ja mostrou isso. Eles estão articulando colocar todos em saia justa , caminhada quando chegar no parlamento vão incentivar e invadir, a polícia já vai está lá, audiência do senador girão com os intimados. São bandido custeado pelo sistema hipócritas (hipocresia).",Senador
['1597436060656553984'],1597436060656553984,@MBLivre Qualquer deputado ou senador qse atrever ir no quartel vai ser preso e Xandão da um jeito de cassa-lo,Senador
['1597435970168946689'],1597435970168946689,"Assista a ""DENUNClA EM BRASILIA sobre o CASO! CONFlRA AGORA o que o SENADOR ACAB0U de trazer para o PUBLICO."" no YouTube https://t.co/WAvOq1AUos",Senador
['1597435621085446145'],1597435621085446145,"@randolfeap Por favor senador Randolfe Rodrigues;sempre admirei sua postura CONTRA OS PACOTES DE MALDADES DO GOVERNO LULA-DILMA(2002-2016,) e confesso que o senhor mudou seu posicionamento muito rapido! Aqui no RJ FOI O ESTADO DETENTOR DA MAIOR FARRA DA TERRA NESSE PERÍODO DESATROSO .",Senador
['1597435463367012352'],1597435463367012352,"@LucileneTheo @DanaButlerr @JanainaDoBrasil A pergunta a ser respondida é: por quanto tempo teremos liberdade nas redes sociais?
O 🦑 tem falado em REGULAR a mídia!
O senador saltitante quer criar lei para prender quem critica político.🧐 falas da esquerda = democracia, falas da direita = ataques!",Senador
['1597435034117767168'],1597435034117767168,@PisToninho2022 Envia para senador girão,Senador
['1597434378782924800'],1597434378782924800,"@TerraBrasilnot Projeto de Lei n° 2864, de 2022 sobre “assédio ideológico” do senador Randolfe Rodrigues. Vote, cadastre e acompanhe os tramites.
https://t.co/6hGtcGBbW0",Senador
