edit_history_tweet_ids,id,text,topic
['1597422873941278721'],1597422873941278721,"@jonesmanoel_PCB Ótimo vídeo. Concordei com tudo. Gostava muito ciro pela postura dele, msm as vezes ele falando merdas. Depois desse ano, nunca mais na vida ele terá um voto meu.
Vai ser UP 80 e Sofia Manzano 21 🏳🏴🚩☭",Sofia Manzano
['1597405952046551040'],1597405952046551040,"gente a eleição já acabou, eu n gosto do lula tanto assim, parem de me mandar coisas dele. mandem da sofia manzano no minimo",Sofia Manzano
['1597385934865338368'],1597385934865338368,Eu falei que vcs deviam ter votado na Sofia Manzano https://t.co/zX0H2dk00U,Sofia Manzano
['1597370391332552704'],1597370391332552704,@filipeixion @sideshow_lotus sofia manzano faz alguma coisa,Sofia Manzano
['1597337205655339009'],1597337205655339009,"todos os dias me surge a dúvida pra saber quem votou na sofia manzano aqui no leão, de as caras camarada!",Sofia Manzano
['1597324439804588033'],1597324439804588033,O Casemiro falou em live que votou na Sofia MANZANO porra https://t.co/e8qfljj0cq,Sofia Manzano
['1597318144351428609'],1597318144351428609,Um cara que votou na Sofia Manzano mo primeiro turno é a arma das Big Techs? Sinceramente.... https://t.co/5LHq5UjqvQ,Sofia Manzano
['1597315935307980801'],1597315935307980801,Atualmente amigo de Sofia Manzano e João carvalho,Sofia Manzano
['1597308921819312128'],1597308921819312128,@fabioleal Eu achei que era o casimiro. (Que votou na Sofia Manzano no 1o turno e lula no segundo),Sofia Manzano
['1597300990612733953'],1597300990612733953,"@DeFlitsend @theusmatte @LightSampaio @folha @nelson_de_sa o cara nunca fez mal pra ninguem, é engajado em causas sociais, ajuda diversas minorias, votou na Sofia manzano num projeto de emancipação da classe trabalhadora e sim, eh so um sujeito sem graça que reproduz odio",Sofia Manzano
['1597298468506472448'],1597298468506472448,"@Arthurner0 2026 Leo Péricles ou Sofia Manzano vão mudar essa piada
Um absurdo o Brasil n ter um capitalismo desenvolvido aqui
Próximos 30 anos temos tudo pra ser a maior potência.
Essa ideologia da direita sempre vai ganhar,na minha visão ela não quer o melhor pro povo e o país",Sofia Manzano
['1597297644304363521'],1597297644304363521,"📌 INDICAMOS 👇🏿

🔴 “Engels: a atualidade de 200 anos”, por Sofia Manzano (@sofiamanzanopcb), membra do Comitê Central do PCB (@PCBpartidao) ➡️ https://t.co/SaWZ4PLxaX

🔴 “Engels e Lênin na América Latina ontem e hoje”, por Marcos Del Roio ➡️ https://t.co/m2lOWR2xuE

👇🏿",Sofia Manzano
['1597296785751695361'],1597296785751695361,@gaiofact Sofia manzano no pânico!,Sofia Manzano
['1597284887132004353'],1597284887132004353,"Casimiro faz gol, faz live e vota Sofia Manzano 21 https://t.co/ok9FBS8cLr",Sofia Manzano
['1597271731869478912'],1597271731869478912,"@miguel90532777 @AlexandrePance1 @cleversonofcial @felipeneto E votaria outras 10 vezes. Eu até preferia a Sofia Manzano ou qualquer outra pessoa mais digna do que aquele imbecil, fascista, genocida, racista, homofóbico, LADRÃO, misógino, homofóbico paga pau de torturador e cretino.",Sofia Manzano
['1597264876082036736'],1597264876082036736,"@marcelo3marcos Sem sentido não, somos a Brasil COM SOFIA MANZANO, a best https://t.co/V07GOBfLgN",Sofia Manzano
['1597192254288179200'],1597192254288179200,"@LL1999LL02 @V_Rocha01 @JediExilado @KazSampaio @folha @nelson_de_sa Não. No primeiro turno ele votou na sofia manzano. Ele não tá nesse esteriótipo ""progressista"".",Sofia Manzano
