edit_history_tweet_ids,id,text,topic
['1597403417949110273'],1597403417949110273,@serradre eu me livrando de simone tebet e soraya thronicke,Soraya Thronicke
['1597402498188210177'],1597402498188210177,"“Tudo tem sua hora, tudo tem seu momento”  

Soraya Thronicke https://t.co/jcbJ0VHcUb",Soraya Thronicke
['1597399802987556864'],1597399802987556864,@vitorialulaaa @diazthalipa Iremos cantar o Hino Nacional para um pneu!! Iremos fazer de tudo para Thais diaz vice de Soraya Thronicke 2026,Soraya Thronicke
['1597399143051591680'],1597399143051591680,"ela mesma a mãe de leo dias, leão lobo, nelson rubens e sonia abrão: soraya thronicke 🤝 https://t.co/PqENJsfi6X",Soraya Thronicke
['1597398047105101824'],1597398047105101824,"Eu tenho muitas informações, algumas relevantes, algumas não, algumas que são apenas uma fofoca simples e outras que são sérias. 

SORAYA THRONICKE https://t.co/H6Fs8yktvj",Soraya Thronicke
['1597394481850224640'],1597394481850224640,"@SorayaThronicke Com certeza o povo do Estado de Mato Grosso do Sul está muito contente com suas ações e omissões, Soraya Thronicke. Não se pode esquecer também das ações e omissões da Simone Tebet.

Esse povo, do Agronegócio e das transportadoras, lembrará das duas.",Soraya Thronicke
['1597390443381428224'],1597390443381428224,@jenhardingx sem condições essa mulher chamada soraya thronicke!,Soraya Thronicke
['1597389996016603137'],1597389996016603137,"@SorayaThronicke Sai da frente quem tem medo, que a Soraya Thronicke tá hablando https://t.co/oIYjQc6YPf",Soraya Thronicke
['1597389972025135104'],1597389972025135104,@SorayaThronicke @BunazarMB Vivi pra ver Soraya Thronicke concordando com o Maicon Kuster.,Soraya Thronicke
['1597384775777800192'],1597384775777800192,"@SorayaThronicke @diazthalipa Eles ainda não entenderam que você não compactua com os mesmos ideias que eles!!
Soraya Thronicke segue afiadíssimaaa😻😻😻😻😻",Soraya Thronicke
['1597383134466969601'],1597383134466969601,EU AMO ESSA SORAYA THRONICKE https://t.co/tPrUqtmARy,Soraya Thronicke
