edit_history_tweet_ids,id,text,topic
['1597406405241483265'],1597406405241483265,@canalgnt @FabioPorchat Tabata Amaral é um grande exemplo de quem veio da favela #papodesegundanognt,Tabata Amaral
['1597386708558835712'],1597386708558835712,tabata amaral casa cmg,Tabata Amaral
['1597386657006698496'],1597386657006698496,"Xandão, Eduardo Bolsonaro, Nine fingers, Renan, Alckmin, Randolfe, Frota, Hasselman, Tiririca, Romário, Maria do Rosário, Tabata Amaral, Kim Kantaguiri...da velha guarda a jovem guarda...vou falar para vcs: Políticos, raça do car@lho😎😎😎",Tabata Amaral
['1597282063513976832'],1597282063513976832,"@lahmanno A marca no Brasil é de propriedade de Jorge Paulo Lehman, que também patrocina o Burger King e financia estudos de pessoas como Tabata Amaral. Um globalista, interessado em monopólio e nos próprios interesses.",Tabata Amaral
['1597269952817688577'],1597269952817688577,"ATUALIZAÇÃO APELIDOS DO TWITTER

paquita da ditadura 🆕
seu ladir do intercept
tábata amaral de jockstrap
gigolô da jequiti
mãe de NFT
gal gadot do dce
datena do PETA
tonhão de peruca
silas malafaia de calcinha
mendigo givaldo de hollywood
juliette da pensilvânia https://t.co/fFbin0LHtw",Tabata Amaral
['1597249751606759424'],1597249751606759424,tanto que fui marcar o @tabom_Gabes e marquei a tabata amaral kkkkkk,Tabata Amaral
['1597245405649309696'],1597245405649309696,"@DanielBaima @waybrasil @arthurmoledoval @JanjaLula @gilbertogil @Floragil2222 Tabata Amaral perguntou ao deputado se ele concorda com a criminalização do nazismo na Alemanha e ele afirmou que não....

https://t.co/uYbFDDc23O",Tabata Amaral
['1597222968819867648'],1597222968819867648,"@marxizando @Quadroscat @velizmafia @Cris_Calixto5 @ZinaltonAndrade Existe mais de uma esquerda ?

Seria tipo..

Os ruins ( Tabata Amaral, Amoedo, Luciano Hulk, Ciro Gomes, Bonner, Luiza Sonza...)

Os péssimos (doria, randolfe, boulos, barroso,verinha...)

Os despresíveis (lula, felipe neto, janones, jones manuel, maria do rosario, xandao..)",Tabata Amaral
['1597182890130821121'],1597182890130821121,@rosana Ta falando do Janones? Duduvier? Felipe Neto? Jose de Abreu? Tabata Amaral? Maria do Rosario? Jandira Fegali? E inumeros outros?,Tabata Amaral
['1597179183717060609'],1597179183717060609,"@rvieira6005 Outra coisa que não consigo entender: José de Abreu ofendeu Tabata Amaral - e muitos petistas deram razão a ele; A campanha de Dilma em 2014 difamou Marina Silva… e as duas estão de braços dados com o petismo…

https://t.co/VZSgSgYU53",Tabata Amaral
['1597168490997243904'],1597168490997243904,Fim da listagem de tweets recuperados para Tabata Amaral. Foram encontrados 4 tweets.,Tabata Amaral
['1597168481287475201'],1597168481287475201,Começando a listagem de tweets recuperados para Tabata Amaral.,Tabata Amaral
['1597071591644356608'],1597071591644356608,"@arthurmoledoval @felipeneto @randolfeap Não vi essa revolta da esquerda quando o Zé de Abreu falou que ia socar a cara da Tabata do Amaral, por ela ter votado em uma pauta de direita.",Tabata Amaral
['1597058811063566336'],1597058811063566336,"Tabata Amaral, faz alguma coisa pra mudar essa nossa situação kkkkkk",Tabata Amaral
['1597053966940262402'],1597053966940262402,"@Henriqu48221610 @rafaelgloves @americanas Americanas, Submarino e Shoptime. Pertencem a Beto Sicupira, Jorge Paulo Lehmann e Marcel Teles. São metacapitalistas, querem ter monopólio dos setores onde atuam. Financiam Tabata Amaral. São donos da Ambev tb. Fizeram o L e farão mais.",Tabata Amaral
['1597053858995326976'],1597053858995326976,"@nitchao83 @rafaelgloves Americanas, Submarino e Shoptime. Pertencem a Beto Sicupira, Jorge Paulo Lehmann e Marcel Teles. São metacapitalistas, querem ter monopólio dos setores onde atuam. Financiam Tabata Amaral. São donos da Ambev tb. Fizeram o L e farão mais. MAGALU é da Luiza Trajano, total Fazuelle!",Tabata Amaral
['1597053560591900673'],1597053560591900673,"@z_erdax @rafaelgloves Americanas, Submarino e Shoptime. Pertencem a Beto Sicupira, Jorge Paulo Lehmann e Marcel Teles. São metacapitalistas, querem ter monopólio dos setores onde atuam. Financiam Tabata Amaral. São donos da Ambev tb. Fizeram o L e farão mais.",Tabata Amaral
['1597053495475343362'],1597053495475343362,"@ruivanaro @rafaelgloves Americanas, Submarino e Shoptime. Pertencem a Beto Sicupira, Jorge Paulo Lehmann e Marcel Teles. São metacapitalistas, querem ter monopólio dos setores onde atuam. Financiam Tabata Amaral. São donos da Ambev tb. Fizeram o L e farão mais.",Tabata Amaral
['1597053461149147136'],1597053461149147136,"@cibelestudart @rafaelgloves @americanas Americanas, Submarino e Shoptime. Pertencem a Beto Sicupira, Jorge Paulo Lehmann e Marcel Teles. São metacapitalistas, querem ter monopólio dos setores onde atuam. Financiam Tabata Amaral. São donos da Ambev tb. Fizeram o L e farão mais.",Tabata Amaral
['1597053405817896961'],1597053405817896961,"@Filiponga @ducavendish @rafaelgloves Exatamente. Americanas, Submarino e Shoptime. Pertencem a Beto Sicupira, Jorge Paulo Lehmann e Marcel Teles. São metacapitalistas, querem ter monopólio dos setores onde atuam. Financiam Tabata Amaral. São donos da Ambev tb. Fizeram o L e farão mais.",Tabata Amaral
['1597053328894353410'],1597053328894353410,"@ducavendish @rafaelgloves Americanas, Submarino e Shoptime. Pertencem a Beto Sicupira, Jorge Paulo Lehmann e Marcel Teles. São metacapitalistas, querem ter monopólio dos setores onde atuam. Financiam Tabata Amaral. São donos da Ambev tb. Fizeram o L e farão mais.",Tabata Amaral
['1597053218198278144'],1597053218198278144,"@rafaelgloves Americanas, Submarino e Shoptime. Pertencem a Beto Sicupira, Jorge Paulo Lehmann e Marcel Teles. São metacapitalistas, querem ter monopólio dos setores onde atuam. Financiam Tabata Amaral. São donos da Ambev tb. Fizeram o L e farão mais.",Tabata Amaral
['1597052706774188032'],1597052706774188032,"@AleOproprio Americanas, Submarino e Shoptime. Pertencem a Beto Sicupira, Jorge Paulo Lehmann e Marcel Teles. São metacapitalistas, querem ter monopólio dos setores onde atuam. Financiam Tabata Amaral. São donos da Ambev tb. Fizeram o L e farão mais.",Tabata Amaral
['1597031868486283264'],1597031868486283264,"Já começaram os assassinatos @Rconstantino
Confira o vídeo de Tabata Amaral! #TikTok https://t.co/zdAItU78Hj",Tabata Amaral
['1597022899311095810'],1597022899311095810,"@vaniafoortes @Rconstantino Jorge Paulo Lemman,um dos globalistas e fundador do renoa Br colocou um monte de deputados, inclusive a tabata amaral",Tabata Amaral
['1597014356373692416'],1597014356373692416,"@OliverStuenkel Considero incorreta a análise. O Difícil no Brasil eh fazer política séria e honesta. O sistema político criminoso não permite. O buraco negro suga. Nessa linha eh a expulsão de tabata Amaral do pdt e a própria saída do Moro do governo, eu acredito.",Tabata Amaral
['1596990595062714368'],1596990595062714368,é a tabata amaral? qual o contexto disso meu pai https://t.co/ehtNvrETSO,Tabata Amaral
['1596960406949761025'],1596960406949761025,"@rottweiler68 @RGritzbach @antonio_packer @GikaPimentel @MarinilseO @marano47183447 @EngineeringElet Péssimo! Além das empresas,financia parlamentares ( como a tabata Amaral)  e atua fortemente na  área educacional. Pautas contra a população e o País, ele é um representante da NOM😩",Tabata Amaral
['1596954001882615808'],1596954001882615808,"@zehdeabreu Explica porque incitou violência contra a deputada Tábata Amaral..
Ah...Então a Regina Duarte (uma desequilibrada mental) deveria cuspir em todo mundo que a ofendeu dos mais baixos adjetivos.",Tabata Amaral
['1596902026264608769'],1596902026264608769,"@zehdeabreu Quem cospe de maneira covarde em mulher e incita violência contra a deputada Tábata Amaral, merece perdão ou ser tratado como um canalha?",Tabata Amaral
['1596901784605593600'],1596901784605593600,"@zeliaduncan @zeliaduncan sua indignação é seletiva não vi essa indignação quando a Regina Duarte foi hostilizada e não vi sua indignação quando o Zé de Abreu disse q tinha vontade de dar um soco na cara da Tabata Amaral. Vc e todos esquerdinha a favor do ""ódio do bem"" são HIPÓCRITAS",Tabata Amaral
['1596892644776738816'],1596892644776738816,"E o maior comunista do Brasil não era o aLckmin e nem a Tábata Amaral e nem o Frota, era o Richarlison!!!!",Tabata Amaral
['1596873516279685121'],1596873516279685121,"@zehdeabreu Nem quando fizeram o mesmo com a Regina Duarte(claramente um desequilibrada mental), nem quando um canalha cuspiu no rosto de uma mulher e esse mesmo canalha incentivou violência contra a deputada Tábata Amaral.",Tabata Amaral
['1596866814415294465'],1596866814415294465,"@lilianmobh @Brunourcera @fbarcelos81 @eurenesilva @felipeneto alguma responsabilidade, como quis fazer Tabata Amaral, o fato é que com relação ao orçamento o Congresso dá a palavra final. Aliás um dos maiores beneficiados com as emendas do relator foi o o PT, com 48 milhões através dos senadores…",Tabata Amaral
['1596841864853827584'],1596841864853827584,"@o_antagonista Normal da vida é quem tem que respeitar a Constituição respeitar. E não tomar partido. ""Vamos vencer o inimigo"" em resposta a Tabata Amaral.... a Internet tem memória caro Ministro.",Tabata Amaral
