edit_history_tweet_ids,id,text,topic
['1597437215537516545'],1597437215537516545,@JniorCa64376029 @SERGIOR49076581 @tarcisio_limma Seguindo🌻🦢🦢🇧🇷,Tarcísio
['1597436574492684288'],1597436574492684288,@JniorCa64376029 @tarcisio_limma Seguindo,Tarcísio
['1597435940095475712'],1597435940095475712,"@IvanValente Tá na hora de você trabalhar
Vai ficar falando mau do GOVERNADOR Tarcísio no Twitter?? 
Pra que q eu te pago???",Tarcísio
['1597435862035607552'],1597435862035607552,"@leeahdeia @EleganceMorena @JaspionRedPiLLL Kkkk pow mano n te desanimar n, mas tá vendo Tarcísio lutando contra TD q está se passando? Ele tá só preocupado em quem vai estar no governo do estado com ele, preocupado com outras coisas. Essa questão aí tá bem longe",Tarcísio
['1597434861681537029'],1597434861681537029,"@CanaldoNegaoo Se isto acontecer adeus gestão de sucesso em SP pelas mãos do Tarcísio, este povo vai boicotar os repasses federal até dizer chega.",Tarcísio
['1597434146850078721'],1597434146850078721,"@FboMedeiros Os anencéfalos divulgando aos quatro ventos as manifestações em frente aos quartéis! Ahhhh o Eduardo Bolsonaro no Catar????? Vcs lembram do Bolsonaro com Tarcísio na garupa de uma moto atravessando uma ponte novinha????????

Otários...... Kkkkkkkkkkk",Tarcísio
['1597433974279663617'],1597433974279663617,Voz do nosso governador Tarcísio https://t.co/XfGowxWS9n,Tarcísio
['1597432860608442368'],1597432860608442368,@pauloguedesfc O melhor... E Tarcísio de Freitas...,Tarcísio
['1597432139485949957'],1597432139485949957,@raka_linda @tarcisiogdf @jairbolsonaro Tarcísio foi uma grande revelação política e foi descoberto pelo Bolsonaro Tarcísio só está sendo grato,Tarcísio
['1597431336532578304'],1597431336532578304,"Esse Bolsonaro é um cara fora do sério.vocés lembram quando nas motociatas a imprensa não estava noticiando nada, um dia ele colocou o tarcisio sem capacete na moto só pra chamar a atenção da imprensa e  assim aconteceu.
Agora usou o seu filho é a imprensa Caio dinovo.",Tarcísio
['1597430891730849792'],1597430891730849792,"@EIGABRlEL Vc lembra da História do bolsonaro atravessando a ponte com o Tarcísio na garupa SEM CAPACETE? 
simples, morderam a isca.",Tarcísio
['1597430144385560576'],1597430144385560576,"Eu te acho um gostoso, Tarcísio, me come por favor",Tarcísio
