edit_history_tweet_ids,id,text,topic
['1597436908707381248'],1597436908707381248,"Porque diferentemente de um certo jurista  e da filha desse mesmo jurista, ANA AMÉLIA SE MOSTROU UMA VERDADEIRA PATRIOTA!!!

E não uma traidora, assim como se mostrou Fraga, Landau, Huck, Bacha, Malan e a própria Tebet.

Moro e Marques seguiram Ana Amélia.",Tebet
['1597436903393210369'],1597436903393210369,"Sobre a Ana Amélia Lemos ter largado a Simone Tebet já no 1º turno, migrando para o voto útil em Jair Bolsonaro, minhas considerações a respeito:

Certamente, em algum momento, Amélia percebeu sinais de que a Simone apoiaria o PT no 2º turno, mas esses sinais só ela percebeu...",Tebet
['1597433693198745602'],1597433693198745602,"SIMONE TEBET ONCE SAID🚨

Deixe sua frase aqui nos comentários https://t.co/hxODYDkHZf",Tebet
['1597432999108546561'],1597432999108546561,"Digo a Simone Tebet porque a esquerda já está manchada irremediavelmente e o petismo certamente boicotará as eleições pós-intervenção militar, vitimizando o Lula (que certamente terá fugido do Brasil).

É bom nos prepararmos.",Tebet
['1597432657243426816'],1597432657243426816,E que eu criei um crush na latifundiária da Simone Tebet que não é normal,Tebet
['1597432350165454848'],1597432350165454848,"Para os bolsonaristas raiz, sim, apoio a intervenção militar, pois NÃO QUERO NEM LL E NEM O SANTO DA ODEBRECHT NO PODER.

Mas mesmo o mais ferrenho bolsonarista em breve terá que começar a fazer campanha para a Maria Silvia Bastos Marques, sob o risco da Simone Tebet ser eleita.",Tebet
['1597430344147382273'],1597430344147382273,@_tebet_ Obrigada 😁💕,Tebet
['1597430319128678402'],1597430319128678402,@luadagal “a feia que se acha irmã gêmea da tebet” https://t.co/7NeU7xVQph,Tebet
['1597428086190243840'],1597428086190243840,"Se Marques e Ana Amélia apoiarem Tebet (MUITO DIFÍCIL), eu apoiarei o candidato no qual a quem @ivonezeger declarar voto.

E tenho dito!

#IntervençãoMilitar🪖
#MariaSilviaPresidenta4️⃣4️⃣
#AnaAméliaVice",Tebet
['1597428084147335168'],1597428084147335168,"Defendo intervenção militar e dentro de 6 meses uma NOVA ELEIÇÃO PRESIDENCIAL.

Se Maria Silvia Bastos Marques for candidata votarei e farei campanha por ela.

Se Marques não concorrer votarei em ela indicar (menos na Simone Tebet).",Tebet
['1597426276490674181'],1597426276490674181,"@GFiuza_Oficial Os eleitores do Ciro em sua maioria votaram no Lula, os eleitores da Marina Silva, os eleitores da Simone Tebet, como alguém se atreve a pensar que teve roubo? Como alguém consegue imaginar que  Lula  não  venceu?",Tebet
['1597426071489499136'],1597426071489499136,"@AlessandroLoio2 Não, ambos são de esquerda! Ciro e Tebet não representam a maioria.",Tebet
['1597423023745019904'],1597423023745019904,@candatasimone linda a Simone Tebet né hein https://t.co/qufQLqex1b,Tebet
['1597421729025957889'],1597421729025957889,"@iari_tebet vamo amg pfv, preciso ofender alguém na amizade nessa rede",Tebet
